"word","urlcount","totalcount","wordLen","Random Number","Rank"
"die",19197.00,149501.00,3,2481.00,1
"und",18352.00,149318.00,3,9271.00,2
"der",18410.00,148472.00,3,106.00,3
"sie",15100.00,66688.00,3,4962.00,5
"von",13268.00,56932.00,3,7316.00,7
"mit",13599.00,55817.00,3,9686.00,8
"zu",14234.00,54962.00,2,8562.00,9
"im",14659.00,53536.00,2,561.00,10
"At",9879.00,44670.00,2,2728.00,12
"in",8152.00,44290.00,2,5533.00,13
"für",9948.00,43354.00,3,9696.00,14
"ab",5060.00,42301.00,2,3357.00,16
"des",11235.00,40363.00,3,2968.00,17
"am",8227.00,32540.00,2,3035.00,19
"den",8419.00,32267.00,3,9192.00,20
"das",8809.00,31706.00,3,8301.00,21
"Internet",8583.00,29636.00,8,3432.00,24
"auf",8757.00,28732.00,3,457.00,26
"an",11122.00,27883.00,2,7232.00,28
"ist",7794.00,27047.00,3,6625.00,30
"über",11311.00,25058.00,4,1953.00,31
"sind",9325.00,24163.00,4,3245.00,32
"als",9083.00,22918.00,3,2934.00,33
"mehr",6701.00,22295.00,4,4875.00,34
"ein",7140.00,21259.00,3,8155.00,35
"Wien",6066.00,20675.00,4,2248.00,37
"nicht",5844.00,20292.00,5,4632.00,38
"oder",6086.00,20082.00,4,3583.00,39
"nach",8076.00,19095.00,4,9904.00,42
"sich",6755.00,18324.00,4,3850.00,44
"bei",6536.00,18242.00,3,4593.00,45
"auch",6357.00,17835.00,4,75.00,48
"werden",6055.00,17416.00,6,5958.00,49
"eine",6070.00,16934.00,4,7692.00,51
"dem",5967.00,16536.00,3,2006.00,53
"zum",7300.00,16336.00,3,3277.00,55
"aus",6633.00,15939.00,3,7084.00,56
"es",5394.00,15409.00,2,7445.00,62
"zur",6852.00,15347.00,3,9755.00,63
"online",5303.00,14513.00,6,3150.00,70
"ich",2898.00,13669.00,3,8554.00,75
"wir",5882.00,13348.00,3,9142.00,77
"wird",5091.00,13304.00,4,1185.00,78
"durch",5590.00,13159.00,5,3930.00,79
"vor",4558.00,12647.00,3,1014.00,82
"ihre",6681.00,12391.00,4,7248.00,83
"http",2369.00,12366.00,4,5447.00,84
"wie",5325.00,12007.00,3,4669.00,87
"einer",5245.00,11763.00,5,4121.00,88
"bis",4516.00,11546.00,3,572.00,89
"Uhr",2999.00,10770.00,3,3358.00,93
"wenn",4471.00,10531.00,4,8739.00,95
"Kontakt",8056.00,10489.00,7,1157.00,96
"einen",5399.00,10452.00,5,8339.00,98
"um",5007.00,10337.00,2,3555.00,100
"alle",5363.00,10085.00,4,9916.00,102
"diese",4848.00,9886.00,5,907.00,104
"News",4283.00,9394.00,4,9872.00,108
"November",3876.00,9320.00,8,8293.00,110
"Login",4025.00,8911.00,5,4108.00,111
"Pc",2119.00,8907.00,2,3242.00,112
"neue",4826.00,8759.00,4,2041.00,114
"sein",4630.00,8607.00,4,6461.00,115
"hat",3386.00,8510.00,3,2069.00,117
"dieser",4992.00,8432.00,6,6425.00,118
"so",3837.00,8380.00,2,9776.00,119
"können",4129.00,8370.00,6,3593.00,121
"uns",4802.00,8337.00,3,501.00,122
"Gmbh",3603.00,8283.00,4,7866.00,123
"de",2701.00,8239.00,2,7220.00,124
"bitte",5120.00,8112.00,5,8811.00,127
"vom",4008.00,7931.00,3,5429.00,129
"Impressum",6989.00,7915.00,9,9626.00,130
"nur",3699.00,7912.00,3,8584.00,131
"unternehmen",4933.00,7681.00,11,6351.00,133
"Kurier",1472.00,7579.00,6,4271.00,134
"ihr",4225.00,7551.00,3,6718.00,135
"Ag",2004.00,7415.00,2,1804.00,138
"mobile",2726.00,7343.00,6,6144.00,140
"haben",3737.00,7332.00,5,1249.00,141
"Html",830.00,6811.00,4,1874.00,149
"Daten",2759.00,6763.00,5,2652.00,150
"man",2619.00,6682.00,3,2810.00,152
"unter",3513.00,6669.00,5,4975.00,153
"noch",3529.00,6658.00,4,930.00,155
"links",4672.00,6642.00,5,8180.00,156
"hier",4064.00,6641.00,4,6372.00,157
"kann",2819.00,6528.00,4,3778.00,161
"Telekom",2021.00,6449.00,7,1039.00,162
"keine",3392.00,6431.00,5,2128.00,163
"ihnen",4249.00,6381.00,5,846.00,164
"Tirol",2937.00,6348.00,5,7052.00,165
"einem",3152.00,6336.00,5,2564.00,167
"Salzburg",1751.00,6177.00,8,598.00,169
"dann",3316.00,6171.00,4,421.00,170
"Seiten",2658.00,5859.00,6,9553.00,175
"suche",3967.00,5854.00,5,9230.00,176
"Infos",2118.00,5835.00,5,8081.00,177
"Dvd",1037.00,5749.00,3,9985.00,182
"bzw",3155.00,5715.00,3,6114.00,183
"was",2699.00,5705.00,3,8364.00,184
