"word","urlcount","totalcount","wordLen","Random Number","Rank"
"de",10769.00,232558.00,2,8376.00,1
"van",7090.00,96171.00,3,9052.00,3
"en",7786.00,92723.00,2,5866.00,4
"op",11826.00,87785.00,2,4250.00,5
"in",8248.00,80586.00,2,2375.00,6
"met",8402.00,51759.00,3,223.00,9
"te",7163.00,41726.00,2,9493.00,12
"je",6140.00,39349.00,2,9865.00,14
"dan",5136.00,15709.00,3,4578.00,49
"dit",5355.00,15542.00,3,8697.00,50
"hier",5249.00,10846.00,4,4270.00,75
"pagina",3321.00,8595.00,6,8831.00,95
"onze",3118.00,6695.00,4,6761.00,117
"dus",2581.00,6120.00,3,8085.00,136
"programma",1913.00,3837.00,9,8471.00,210
"zou",1404.00,3337.00,3,3889.00,239
"adapter",1199.00,2939.00,7,6735.00,267
"papier",1381.00,2515.00,6,4207.00,302
"accu",678.00,1658.00,4,1710.00,444
"huis",952.00,1622.00,4,477.00,452
"reis",832.00,1612.00,4,8751.00,456
"rond",995.00,1415.00,4,5290.00,516
"indien",648.00,1275.00,6,5872.00,560
"sep",460.00,1185.00,3,2022.00,598
"mis",538.00,1075.00,3,6267.00,646
"accessoires",578.00,1059.00,11,9317.00,653
"tien",624.00,887.00,4,3875.00,743
"lange",572.00,818.00,5,8860.00,780
"ide",674.00,772.00,3,5521.00,813
"auteurs",403.00,710.00,7,1518.00,854
"privé",515.00,703.00,5,329.00,861
"harde",513.00,649.00,5,605.00,905
"ver",492.00,612.00,3,2574.00,934
"rené",223.00,608.00,4,5288.00,938
"pers",483.00,599.00,4,6023.00,947
"niveau",471.00,599.00,6,3363.00,947
"jota",69.00,583.00,4,1424.00,959
"beurs",363.00,576.00,5,4636.00,966
"cabaretier",181.00,555.00,10,575.00,986
"documentaire",318.00,500.00,12,8676.00,1032
"moderne",362.00,483.00,7,7428.00,1049
"terrorisme",211.00,461.00,10,6363.00,1069
"ananas",141.00,443.00,6,7343.00,1086
"loden",253.00,427.00,5,8841.00,1101
"café",229.00,407.00,4,861.00,1120
"campagnes",285.00,388.00,9,1656.00,1139
"directeur",269.00,384.00,9,1667.00,1143
"kraken",236.00,383.00,6,4291.00,1144
"Rms",302.00,379.00,3,6448.00,1148
"ronde",163.00,379.00,5,106.00,1148
"luxe",281.00,373.00,4,7522.00,1154
"acteur",167.00,358.00,6,4668.00,1169
"Anjou",134.00,346.00,5,290.00,1181
"antenne",326.00,339.00,7,7156.00,1188
"maximale",281.00,337.00,8,3658.00,1190
"plante",124.00,334.00,6,2539.00,1193
"racisme",209.00,313.00,7,6255.00,1213
"directe",232.00,308.00,7,6589.00,1218
"unie",200.00,302.00,4,6078.00,1224
"bas",181.00,298.00,3,6142.00,1228
"industrie",205.00,284.00,9,299.00,1242
"fluor",226.00,265.00,5,8261.00,1261
"terreur",199.00,256.00,7,5455.00,1270
"prive",174.00,252.00,5,5198.00,1274
"carrière",217.00,252.00,8,7310.00,1274
"titane",139.00,249.00,6,8288.00,1277
"bal",219.00,244.00,3,726.00,1282
"seconde",213.00,241.00,7,3224.00,1285
"Ccd",190.00,239.00,3,5180.00,1287
"donateurs",156.00,227.00,9,3140.00,1299
"bons",84.00,221.00,4,5750.00,1305
"donateur",193.00,218.00,8,5143.00,1308
"glas",151.00,218.00,4,3913.00,1308
"verre",115.00,213.00,5,6674.00,1313
"galerie",63.00,213.00,7,2418.00,1313
"trucs",203.00,210.00,5,2414.00,1316
"tas",172.00,210.00,3,5279.00,1316
"garant",177.00,209.00,6,3368.00,1317
"aller",176.00,202.00,5,155.00,1324
"bd",70.00,199.00,2,6639.00,1327
"populaire",168.00,197.00,9,6610.00,1329
"Ieee",173.00,187.00,4,6893.00,1339
"soude",11.00,180.00,5,8558.00,1346
"totale",159.00,179.00,6,211.00,1347
"sonder",10.00,177.00,6,4487.00,1349
"mol",132.00,170.00,3,3564.00,1356
"cetera",53.00,163.00,6,1309.00,1363
"cadeau",125.00,161.00,6,3307.00,1365
"externe",133.00,156.00,7,3694.00,1370
"mer",27.00,152.00,3,6783.00,1374
"optimale",83.00,151.00,8,9715.00,1375
"acteurs",128.00,151.00,7,152.00,1375
"aimée",67.00,148.00,5,3902.00,1378
"campings",119.00,148.00,8,4525.00,1378
"vos",97.00,145.00,3,6750.00,1381
"mondiale",84.00,141.00,8,5204.00,1385
"solidarité",133.00,138.00,10,6648.00,1388
"ambassade",44.00,138.00,9,4424.00,1388
"libelle",115.00,135.00,7,7509.00,1391
"dé",119.00,134.00,2,3210.00,1392
"documentaires",110.00,133.00,13,9445.00,1393
"gras",110.00,133.00,4,9397.00,1393
"radicale",88.00,129.00,8,9547.00,1397
"vers",106.00,126.00,4,7400.00,1400
"congres",89.00,124.00,7,1756.00,1402
"Duits",93.00,122.00,5,9932.00,1404
"plein",79.00,121.00,5,9848.00,1405
"Marseille",118.00,121.00,9,6256.00,1405
"alfa",83.00,120.00,4,2754.00,1406
"nota",54.00,116.00,4,2180.00,1410
"prix",89.00,115.00,4,2901.00,1411
"vis",82.00,115.00,3,5945.00,1411
"reportages",91.00,114.00,10,8277.00,1412
"sas",55.00,114.00,3,4870.00,1412
"bon",82.00,114.00,3,3307.00,1412
"garanties",98.00,111.00,9,2645.00,1415
"rewriter",103.00,110.00,8,2225.00,1416
"installateurs",96.00,109.00,13,8542.00,1417
"donjon",99.00,109.00,6,2522.00,1417
"vitamine",60.00,108.00,8,1466.00,1418
"lui",91.00,107.00,3,5078.00,1419
"glose",1.00,105.00,5,5972.00,1421
"actrice",76.00,105.00,7,9712.00,1421
"carnaval",90.00,104.00,8,4006.00,1422
"foute",90.00,103.00,5,9098.00,1423
"valse",90.00,103.00,5,9771.00,1423
"officier",68.00,101.00,8,4365.00,1425
"tante",53.00,101.00,5,3167.00,1425
"vu",82.00,98.00,2,51.00,1428
"jans",36.00,97.00,4,5962.00,1429
"bolides",73.00,93.00,7,4133.00,1433
"massa",73.00,91.00,5,3159.00,1435
"multinationale",49.00,91.00,14,6094.00,1435
"autonome",54.00,90.00,8,1415.00,1436
"Hein",61.00,88.00,4,9949.00,1438
"appartement",67.00,88.00,11,9497.00,1438
"enquête",56.00,87.00,7,8328.00,1439
"petit",45.00,86.00,5,9950.00,1440
"ou",46.00,85.00,2,5727.00,1441
"folie",78.00,82.00,5,3280.00,1444
"François",42.00,82.00,8,9295.00,1444
"visser",58.00,81.00,6,2199.00,1445
"courant",37.00,79.00,7,116.00,1447
"lof",65.00,78.00,3,2030.00,1448
"avec",24.00,77.00,4,5310.00,1449
"affiche",41.00,76.00,7,5048.00,1450
"leur",38.00,76.00,4,7190.00,1450
"maxima",66.00,75.00,6,701.00,1451
"dia",65.00,75.00,3,5241.00,1451
"sien",24.00,74.00,4,11.00,1452
"psychiatrie",66.00,73.00,11,1349.00,1453
"gode",12.00,73.00,4,4413.00,1453
"bazar",53.00,73.00,5,7813.00,1453
"intelligente",56.00,72.00,12,261.00,1454
"lente",47.00,72.00,5,3799.00,1454
"minimale",48.00,68.00,8,3289.00,1458
"su",26.00,68.00,2,8468.00,1458
"malle",58.00,68.00,5,4493.00,1458
"dessins",7.00,67.00,7,2056.00,1459
"enthousiaste",57.00,66.00,12,5012.00,1460
"appel",48.00,66.00,5,6080.00,1460
"dont",45.00,66.00,4,9170.00,1460
"hé",51.00,66.00,2,3704.00,1460
"juin",9.00,65.00,4,6917.00,1461
"gemma",53.00,64.00,5,5678.00,1462
"horloge",57.00,63.00,7,6581.00,1463
"euthanasie",17.00,62.00,10,676.00,1464
"inde",10.00,61.00,4,805.00,1465
"fiscale",44.00,60.00,7,5498.00,1466
"seuil",53.00,58.00,5,1359.00,1468
"paquet",50.00,58.00,6,7021.00,1468
"rente",41.00,58.00,5,4656.00,1468
"parlementaire",34.00,58.00,13,1184.00,1468
"enthousiasme",52.00,57.00,12,8377.00,1469
"bois",19.00,57.00,4,3517.00,1469
"curaçao",37.00,57.00,7,3637.00,1469
"particulier",35.00,56.00,11,1973.00,1470
"Capelle",41.00,55.00,7,216.00,1471
"casa",24.00,55.00,4,2628.00,1471
"coureurs",36.00,55.00,8,6325.00,1471
