"word","urlcount","totalcount","wordLen","Random Number"
"the",93444.00,2309141.00,3,2817.00
"of",93694.00,1478325.00,2,7736.00
"and",89949.00,1411185.00,3,7265.00
"to",85161.00,1093317.00,2,7934.00
"for",79810.00,572651.00,3,689.00
"canada",88944.00,504941.00,6,3090.00
"la",23113.00,460568.00,2,8056.00
"on",71705.00,393606.00,2,7662.00
"et",21891.00,384663.00,2,6945.00
"is",60695.00,376557.00,2,1755.00
"des",20419.00,350669.00,3,6286.00
"or",49598.00,347717.00,2,3866.00
"le",19771.00,321449.00,2,7533.00
"les",18388.00,318123.00,3,26.00
"by",63406.00,282865.00,2,3745.00
"that",40494.00,250954.00,4,4407.00
"with",53704.00,241605.00,4,983.00
"this",54036.00,219368.00,4,301.00
"at",47549.00,217034.00,2,2143.00
"be",38735.00,214918.00,2,1701.00
"you",45232.00,214181.00,3,3774.00
"are",51763.00,212563.00,3,9264.00
"information",59967.00,210310.00,11,9583.00
"as",43230.00,205740.00,2,5823.00
"canadian",50062.00,202302.00,8,1366.00
"your",45434.00,182359.00,4,9388.00
"site",67434.00,164200.00,4,6079.00
"from",47331.00,161618.00,4,2433.00
"an",41708.00,160165.00,2,6226.00
"ca",49199.00,159469.00,2,8617.00
"it",34826.00,147476.00,2,3920.00
"un",14695.00,145768.00,2,9523.00
"services",41850.00,145551.00,8,6695.00
"pour",16192.00,135662.00,4,8439.00
"will",33184.00,132009.00,4,3188.00
"home",67726.00,131410.00,4,115.00
"all",51161.00,131083.00,3,4483.00
"au",15243.00,124896.00,2,3154.00
"not",33302.00,120211.00,3,5521.00
"more",40845.00,115409.00,4,104.00
"have",35763.00,115351.00,4,5669.00
"search",47281.00,114570.00,6,8461.00
"us",57603.00,113285.00,2,2438.00
"may",24829.00,105123.00,3,1461.00
"other",36140.00,103930.00,5,2066.00
"health",21221.00,97473.00,6,9044.00
"dans",12259.00,96739.00,4,7872.00
"can",32448.00,95259.00,3,5689.00
"contact",58957.00,94481.00,7,9991.00
"our",33019.00,93367.00,3,583.00
"est",14133.00,92232.00,3,888.00
"any",20539.00,87325.00,3,6154.00
"par",12882.00,86955.00,3,5237.00
"has",26947.00,86252.00,3,6254.00
"we",28311.00,85699.00,2,4028.00
"news",33126.00,85258.00,4,2930.00
"was",20972.00,83472.00,3,8767.00
"business",24258.00,83042.00,8,9566.00
"if",25386.00,82430.00,2,2905.00
"web",35996.00,82259.00,3,2455.00
"their",27557.00,77688.00,5,9202.00
