"word","urlcount","totalcount","wordLen","Random Number"
"de",26375.00,882918.00,2,6822.00
"la",23113.00,460568.00,2,505.00
"et",21891.00,384663.00,2,9753.00
"des",20419.00,350669.00,3,102.00
"le",19771.00,321449.00,2,8109.00
"les",18388.00,318123.00,3,3217.00
"un",14695.00,145768.00,2,8044.00
"pour",16192.00,135662.00,4,4840.00
"une",12893.00,125794.00,3,5626.00
"au",15243.00,124896.00,2,5704.00
"ou",9522.00,120917.00,2,179.00
"sur",15279.00,116942.00,3,4113.00
"dans",12259.00,96739.00,4,8500.00
"est",14133.00,92232.00,3,3138.00
"par",12882.00,86955.00,3,5698.00
"qui",10828.00,78516.00,3,3699.00
"que",10906.00,77255.00,3,5100.00
"aux",13280.00,73122.00,3,3988.00
"vous",9146.00,46479.00,4,8895.00
"sont",8304.00,40349.00,4,2395.00
"ce",9379.00,39049.00,2,8142.00
"nous",13865.00,37679.00,4,9943.00
"français",30675.00,36588.00,8,3116.00
"loi",3400.00,36297.00,3,1621.00
"Québec",8889.00,32411.00,6,5066.00
"avec",8914.00,32011.00,4,8533.00
"renseignements",6932.00,27039.00,14,8928.00
"sentier",957.00,26819.00,7,9961.00
"être",5710.00,26442.00,4,3134.00
"cette",6795.00,25616.00,5,6455.00
"peut",4145.00,25494.00,4,5962.00
"été",5559.00,23899.00,3,4407.00
"autres",8008.00,23555.00,6,7790.00
"gouvernement",5677.00,21819.00,12,1556.00
"ministre",4473.00,21697.00,8,1485.00
"ces",5527.00,21090.00,3,1013.00
"votre",4632.00,20033.00,5,8680.00
"canadien",6906.00,19598.00,8,8744.00
"accueil",13773.00,19291.00,7,7335.00
"leur",5439.00,18903.00,4,8442.00
"conseil",4100.00,18188.00,7,530.00
"emploi",3782.00,17575.00,6,2647.00
"personne",2546.00,17222.00,8,1223.00
"ressources",6542.00,16208.00,10,2319.00
"développement",4758.00,16150.00,13,9263.00
"canadienne",5719.00,16128.00,10,523.00
"mise",9744.00,15711.00,4,100.00
"présente",1880.00,15696.00,8,3569.00
"jour",9987.00,15430.00,4,6972.00
"partie",3238.00,15186.00,6,6331.00
"ministère",5282.00,15008.00,9,2450.00
"autre",3813.00,14724.00,5,1607.00
"ses",4442.00,14507.00,3,2437.00
"année",3226.00,14226.00,5,7059.00
