"word_id","word","wordLen","urlcount","totalcount","adjFreq","deleted","whyDeleted","Rank"
2549143,"sports",6,71,101,43,1,"Spelling",1158
2549144,"news",4,131,227,96,1,"Spelling",1032
2549145,"computers",9,346,921,390,0,,568
2549146,"5719",4,1,1,0,1,"Number",1258
2549147,"education",9,82,125,53,1,"Spelling",1134
2549148,"places",6,7,9,4,1,"Spelling",1250
2549149,"recreation",10,7,10,4,1,"Spelling",1249
2549150,"192",3,37,42,18,1,"Number",1217
2549151,"art",3,199,472,200,0,,816
2549152,"areas",5,14,22,9,1,"Spelling",1237
2549153,"categories",10,42,64,27,1,"Spelling",1195
2549154,"regional",8,58,71,30,1,"Spelling",1188
2549155,"arts",4,56,82,35,0,,1177
2549156,"290",3,7,7,3,1,"Number",1252
2549157,"297",3,5,6,3,1,"Number",1253
2549158,"learn",5,10,24,10,1,"Spelling",1235
2549159,"the",3,2476,9909,4192,1,"Spelling",29
2549160,"6",1,1057,2902,1228,1,"Number",202
2549161,"7",1,831,1619,685,1,"Number",381
2549162,"internet",8,2082,4347,1839,1,"Spelling",87
2549163,"in",2,4357,58325,24672,0,,2
2549164,"social",6,35,66,28,1,"Spelling",1193
2549165,"page",4,180,330,140,0,,932
2549166,"history",7,52,93,39,1,"Spelling",1166
2549167,"economy",7,12,26,11,1,"Spelling",1233
2549168,"humanities",10,8,14,6,1,"Spelling",1245
2549169,"389",3,5,5,2,1,"Number",1254
2549170,"health",6,94,114,48,1,"Spelling",1145
2549171,"of",2,3847,15673,6630,0,,15
2549172,"519",3,3,3,1,1,"Number",1256
2549173,"category",8,43,49,21,1,"Spelling",1210
2549174,"535",3,9,11,5,1,"Number",1248
2549175,"a",1,3009,7832,3313,0,,37
2549176,"email",5,183,273,115,0,,987
2549177,"netherla",8,1,1,0,1,"Spelling",1258
2549178,"web",3,742,1132,479,0,,479
2549179,"18",2,1787,5599,2368,1,"Number",64
2549180,"media",5,1967,3725,1576,0,,116
2549181,"suggest",7,42,44,19,1,"Spelling",1215
2549182,"yahoo",5,44,85,36,1,"Spelling",1174
2549183,"about",5,152,303,128,1,"Spelling",957
2549184,"site",4,832,1321,559,0,,428
2549185,"provinces",9,25,28,12,1,"Spelling",1231
2549186,"54",2,414,818,346,1,"Number",614
2549187,"entertainment",13,221,494,209,0,,799
2549188,"57",2,444,848,359,1,"Number",596
2549189,"autonomous",10,6,9,4,1,"Spelling",1250
2549190,"71",2,46,51,22,1,"Number",1208
2549191,"722",3,14,14,6,1,"Number",1245
2549192,"2425",4,1,1,0,1,"Number",1258
2549193,"travel",6,169,305,129,1,"Spelling",955
2549194,"islands",7,27,48,20,1,"Spelling",1211
2549195,"advanced",8,95,110,47,1,"Spelling",1149
2549196,"language",8,55,101,43,1,"Spelling",1158
