"word","urlcount","totalcount","wordLen","Random Number","Rank"
"de",1538.00,28044.00,2,43.00,1
"van",1478.00,17498.00,3,3145.00,2
"en",1430.00,15349.00,2,2142.00,3
"het",1267.00,13045.00,3,3610.00,4
"in",1428.00,11200.00,2,95.00,5
"een",1260.00,10717.00,3,482.00,6
"op",1268.00,7597.00,2,8559.00,7
"voor",1132.00,6407.00,4,8928.00,8
"te",1052.00,4977.00,2,8331.00,10
"met",1020.00,4819.00,3,4508.00,11
"vlaanderen",1066.00,4573.00,10,5182.00,13
"zijn",699.00,3131.00,4,4554.00,15
"je",570.00,2943.00,2,7406.00,16
"dat",554.00,2797.00,3,198.00,18
"die",690.00,2745.00,3,662.00,19
"aan",713.00,2687.00,3,1899.00,20
"om",881.00,2614.00,2,8939.00,22
"naar",911.00,2468.00,4,3966.00,24
"deze",741.00,2352.00,4,9087.00,25
"bij",810.00,2274.00,3,4719.00,27
"niet",512.00,2166.00,4,6655.00,32
"ook",608.00,2030.00,3,7795.00,34
"www",533.00,1907.00,3,4448.00,36
"meer",579.00,1869.00,4,5622.00,37
"als",550.00,1788.00,3,5913.00,38
"er",493.00,1748.00,2,8122.00,39
"tot",543.00,1697.00,3,6938.00,40
"kan",574.00,1592.00,3,8802.00,42
"worden",494.00,1457.00,6,1958.00,43
"info",512.00,1395.00,4,9342.00,44
"the",235.00,1383.00,3,8985.00,45
"dan",505.00,1349.00,3,4283.00,47
"uit",539.00,1321.00,3,3703.00,50
"dit",476.00,1307.00,3,3818.00,51
"we",429.00,1304.00,2,9898.00,52
"vlaamse",475.00,1288.00,7,2729.00,53
"maar",413.00,1284.00,4,1206.00,54
"uw",386.00,1281.00,2,5135.00,55
"programma",208.00,1207.00,9,7882.00,58
"wat",457.00,1201.00,3,6739.00,59
"gids",280.00,1199.00,4,1557.00,60
"jaar",334.00,1195.00,4,1015.00,61
"onze",468.00,1192.00,4,9400.00,62
"hier",438.00,1150.00,4,6582.00,64
"nog",553.00,1145.00,3,9529.00,65
"google",246.00,1136.00,6,9248.00,66
