"word","urlcount","totalcount","wordLen","Random Number","Rank"
"de",35237.00,672202.00,2,2590.00,1
"la",30211.00,311558.00,2,1831.00,2
"et",31243.00,291725.00,2,1376.00,3
"le",28750.00,242757.00,2,3665.00,4
"les",27939.00,226321.00,3,6686.00,7
"des",27977.00,184951.00,3,1971.00,9
"en",24875.00,162071.00,2,6611.00,13
"un",28599.00,149892.00,2,1160.00,14
"du",28127.00,142400.00,2,4028.00,15
"sur",29588.00,119087.00,3,9231.00,17
"and",7056.00,112124.00,3,5407.00,18
"pour",23449.00,111801.00,4,973.00,19
"une",24879.00,99750.00,3,7265.00,21
"dans",21049.00,93675.00,4,5776.00,22
"par",22545.00,92541.00,3,3861.00,24
"est",17648.00,86239.00,3,8653.00,25
"que",14362.00,73850.00,3,3461.00,28
"vous",14002.00,71692.00,4,6704.00,29
"in",7894.00,65691.00,2,8575.00,30
"qui",12828.00,62506.00,3,350.00,32
"au",15906.00,61808.00,2,2612.00,33
"tous",28310.00,61647.00,4,5452.00,34
"ou",19323.00,59124.00,2,1177.00,35
"ce",18022.00,54889.00,2,5438.00,37
"votre",19025.00,54251.00,5,778.00,38
"il",10287.00,52638.00,2,2263.00,40
"site",18993.00,51583.00,4,6174.00,41
"on",10427.00,51025.00,2,2984.00,42
"aide",23092.00,50897.00,4,3727.00,43
"plus",17476.00,50800.00,4,4547.00,44
"france",19193.00,47070.00,6,2967.00,45
"for",5795.00,47039.00,3,860.00,46
"avec",18553.00,46042.00,4,5194.00,47
"pas",10698.00,41013.00,3,5405.00,51
"accueil",26125.00,40152.00,7,9292.00,53
"données",23062.00,39918.00,7,6273.00,54
"cette",16275.00,39627.00,5,4671.00,56
"page",18036.00,38781.00,4,1745.00,57
"droits",25196.00,38184.00,6,6819.00,59
"jeux",7134.00,36453.00,4,2487.00,63
"ne",9978.00,33816.00,2,5022.00,65
"septembre",7635.00,32029.00,9,2200.00,67
"réservés",23781.00,31862.00,8,9457.00,68
"guide",9192.00,30686.00,5,8099.00,72
"paris",8686.00,30526.00,5,377.00,73
"aux",11224.00,30330.00,3,1783.00,74
"more",3323.00,30172.00,4,4628.00,75
"recherche",17495.00,30027.00,9,1720.00,76
"content",1987.00,29750.00,7,6317.00,77
"se",9180.00,29219.00,2,5833.00,79
"sont",13498.00,28981.00,4,995.00,80
"service",13153.00,28674.00,7,5757.00,81
"label",942.00,27810.00,5,7304.00,82
"conditions",23594.00,27662.00,10,136.00,83
"vos",14789.00,27571.00,3,9432.00,84
"personnelles",21943.00,27298.00,12,6125.00,85
"inc",20928.00,27277.00,3,4041.00,86
"utilisation",22125.00,27017.00,11,7898.00,87
"tout",13987.00,26487.00,4,7141.00,89
"or",5423.00,26443.00,2,3861.00,90
"son",8945.00,25936.00,3,7343.00,92
"jeu",5722.00,25818.00,3,8871.00,93
"nous",7896.00,25106.00,4,9606.00,95
"actualités",12190.00,24849.00,10,7070.00,97
"informations",11297.00,24094.00,12,1690.00,101
"je",4889.00,23143.00,2,4723.00,107
"an",6216.00,21867.00,2,1833.00,112
"cartes",4793.00,21427.00,6,4129.00,115
"ces",10779.00,20924.00,3,1771.00,116
"toutes",10714.00,20813.00,6,2016.00,118
"prix",5409.00,20566.00,4,3389.00,120
"as",3408.00,20083.00,2,9355.00,123
"cours",5667.00,20014.00,5,9150.00,125
"sites",10416.00,19763.00,5,8787.00,126
"are",3483.00,19033.00,3,9057.00,128
"sept",2444.00,18797.00,4,4558.00,132
"mais",6040.00,18071.00,4,2156.00,137
"si",7135.00,17438.00,2,7991.00,143
"rechercher",11016.00,17078.00,10,7557.00,145
"monde",8604.00,16942.00,5,6945.00,147
"rubrique",9568.00,16854.00,8,5849.00,148
"être",7097.00,16683.00,4,6748.00,150
"sans",8269.00,16116.00,4,8009.00,154
"autres",9025.00,15958.00,6,8086.00,156
"ses",6516.00,15539.00,3,598.00,159
"sa",6383.00,15475.00,2,3603.00,160
"comme",5663.00,15421.00,5,2942.00,161
"actualité",7978.00,15361.00,9,6083.00,162
"mon",8175.00,14987.00,3,1155.00,167
"octobre",2339.00,14684.00,7,9171.00,170
"elle",4475.00,14648.00,4,8666.00,171
"pages",8552.00,14450.00,5,968.00,172
"art",5336.00,13810.00,3,9090.00,174
"non",6113.00,13725.00,3,6834.00,176
"forum",5601.00,13705.00,5,3315.00,177
"net",4704.00,13697.00,3,3355.00,178
"code",5391.00,13626.00,4,67.00,179
"bien",6058.00,13516.00,4,8208.00,181
"article",4233.00,13507.00,7,5674.00,182
"culture",6704.00,13386.00,7,6661.00,183
"vidéo",4083.00,13342.00,5,4876.00,184
"peut",5637.00,12710.00,4,8853.00,189
"toute",7439.00,12708.00,5,3481.00,190
"test",3359.00,12648.00,4,3957.00,191
"contact",8111.00,12589.00,7,3848.00,194
"liste",8492.00,12381.00,5,4654.00,196
"compte",5796.00,12328.00,6,5421.00,197
"aussi",5701.00,12319.00,5,7396.00,198
"jour",7711.00,12103.00,4,2822.00,200
"fait",5155.00,11987.00,4,2870.00,202
"envoyer",8443.00,11777.00,7,6813.00,203
"santé",4844.00,11759.00,5,1849.00,204
"photo",5095.00,11557.00,5,380.00,205
"ont",4863.00,11455.00,3,3050.00,206
"sep",1299.00,11452.00,3,5788.00,207
"vie",5432.00,11399.00,3,3195.00,208
"carte",3474.00,11330.00,5,9086.00,209
"faire",5695.00,11318.00,5,5555.00,210
"comment",4103.00,11210.00,7,6780.00,212
"sciences",4798.00,11195.00,8,2128.00,213
"accès",7835.00,11181.00,5,6975.00,214
"grand",5200.00,11091.00,5,8241.00,216
"deux",5142.00,11033.00,4,5358.00,217
"savoir",8663.00,11016.00,6,2939.00,218
"livres",3842.00,10958.00,6,970.00,220
"même",4202.00,10929.00,4,3067.00,221
"nos",4672.00,10801.00,3,9031.00,223
"mobile",3211.00,10764.00,6,7526.00,224
"leur",4529.00,10733.00,4,9755.00,225
"proposer",5769.00,10706.00,8,979.00,226
"ligne",5115.00,10475.00,5,7658.00,229
"tests",3158.00,10404.00,5,6016.00,230
"membres",2672.00,10378.00,7,6296.00,231
"bourse",2775.00,10335.00,6,9638.00,232
"voir",4179.00,10326.00,4,7790.00,233
"livre",2945.00,10218.00,5,1720.00,237
"sous",5839.00,9875.00,4,4310.00,243
"notre",5153.00,9721.00,5,6911.00,247
"jean",3210.00,9642.00,4,9119.00,249
"jeudi",3977.00,9624.00,5,6733.00,250
"conseils",4671.00,9496.00,8,5923.00,252
"no",3054.00,9373.00,2,6815.00,253
"cinéma",2512.00,9258.00,6,5062.00,256
"crédits",643.00,9248.00,7,2866.00,257
"critiques",8756.00,9242.00,9,6452.00,259
"retour",6918.00,9173.00,6,1697.00,262
"liens",6570.00,9126.00,5,90.00,263
"achat",3127.00,9126.00,5,5558.00,263
"société",5856.00,9055.00,7,3928.00,266
"presse",5242.00,9046.00,6,4715.00,267
"us",5017.00,8989.00,2,9697.00,269
"français",3761.00,8968.00,8,8863.00,270
"nom",4361.00,8947.00,3,9729.00,271
"droit",4521.00,8914.00,5,3754.00,272
"ils",3897.00,8837.00,3,598.00,274
"entre",4882.00,8775.00,5,8255.00,275
"sports",3734.00,8747.00,6,5305.00,276
"ans",4179.00,8721.00,3,6171.00,277
"lui",3246.00,8709.00,3,2641.00,278
"remporte",163.00,8696.00,8,1632.00,279
"été",4020.00,8483.00,3,1470.00,285
"très",4891.00,8406.00,4,7313.00,287
"histoire",3561.00,8297.00,8,4399.00,292
"textes",5039.00,8239.00,6,9627.00,294
"après",4381.00,8194.00,5,5025.00,296
"me",2898.00,8188.00,2,2483.00,297
"piscine",215.00,8182.00,7,2456.00,298
"if",1733.00,8178.00,2,4918.00,299
"autre",3817.00,8166.00,5,4047.00,301
"groupe",3023.00,7928.00,6,5831.00,309
"rédigée",609.00,7860.00,7,8977.00,310
"europe",4123.00,7830.00,6,4758.00,312
"titre",5000.00,7708.00,5,8898.00,315
"nouveau",5116.00,7690.00,7,533.00,317
"dossier",3158.00,7687.00,7,6991.00,318
"loi",3838.00,7591.00,3,4458.00,321
"support",2497.00,7589.00,7,4030.00,322
"image",4085.00,7587.00,5,6139.00,323
"emploi",2752.00,7532.00,6,9023.00,327
"premier",3917.00,7505.00,7,3670.00,329
"pouvez",5008.00,7501.00,6,4872.00,330
"version",3812.00,7482.00,7,7809.00,332
"juin",2239.00,7438.00,4,4854.00,333
"ici",4609.00,7430.00,3,6298.00,335
"téléphone",2140.00,7424.00,9,7632.00,336
"dont",4059.00,7423.00,4,1354.00,337
"lire",2509.00,7370.00,4,4966.00,340
"outils",6492.00,7299.00,6,8748.00,342
"marqué",236.00,7271.00,6,8260.00,343
"médias",3729.00,7247.00,6,2120.00,344
"buts",152.00,7220.00,4,5092.00,345
"re",1756.00,7212.00,2,4791.00,347
"musique",3608.00,7108.00,7,4057.00,350
"concernant",5798.00,7042.00,10,2084.00,353
"littérature",2662.00,7041.00,11,157.00,354
"météo",4085.00,7040.00,5,5466.00,355
"mes",3690.00,7038.00,3,9198.00,356
"avant",4269.00,7014.00,5,2509.00,358
"chez",2438.00,7000.00,4,696.00,360
"dépêches",4027.00,6944.00,8,6522.00,363
"espace",3353.00,6939.00,6,8514.00,364
"suivant",4438.00,6858.00,7,5332.00,366
"mai",2054.00,6849.00,3,7122.00,367
"soit",4023.00,6843.00,4,9426.00,368
"ainsi",3869.00,6817.00,5,2656.00,370
"annonces",3570.00,6798.00,8,192.00,371
"multimédia",3086.00,6785.00,10,56.00,373
"informatique",2882.00,6783.00,12,9640.00,374
"vers",3650.00,6778.00,4,7549.00,375
"août",1907.00,6764.00,4,8013.00,376
"ouvrir",5882.00,6716.00,6,5803.00,377
"ajouter",4937.00,6711.00,7,680.00,379
"produits",2185.00,6707.00,8,5732.00,380
"nouveautés",4439.00,6652.00,10,2094.00,381
"homme",2704.00,6566.00,5,2623.00,383
"adresse",3565.00,6558.00,7,4496.00,384
"ai",1885.00,6515.00,2,3809.00,386
"centre",2738.00,6514.00,6,4514.00,387
"voeux",1832.00,6489.00,5,9753.00,388
"cotations",2834.00,6470.00,9,4483.00,391
"partenaires",2543.00,6452.00,11,6693.00,392
"vente",3889.00,6429.00,5,5592.00,393
"enfants",3409.00,6422.00,7,2797.00,396
"où",2952.00,6403.00,2,2630.00,397
"contre",3399.00,6379.00,6,3599.00,399
"nouvelle",3646.00,6349.00,8,6173.00,400
"dossiers",4090.00,6226.00,8,9387.00,406
"avancée",6057.00,6186.00,7,1874.00,408
"unis",4164.00,6179.00,4,8949.00,409
"groupes",1888.00,6176.00,7,8827.00,410
"bouton",3011.00,6139.00,6,7397.00,413
"avoir",3752.00,6101.00,5,1166.00,415
"politique",3309.00,6089.00,9,2479.00,416
"barre",5908.00,6082.00,5,2953.00,417
"analyses",2574.00,5953.00,8,6524.00,418
"encore",3234.00,5935.00,6,4706.00,420
"haut",3217.00,5916.00,4,2234.00,421
"do",1649.00,5872.00,2,1686.00,423
"précédent",3922.00,5862.00,9,5774.00,425
"avis",2213.00,5849.00,4,7417.00,426
"janvier",3390.00,5838.00,7,6478.00,427
"saint",2233.00,5833.00,5,6328.00,428
"navigateur",5340.00,5819.00,10,8572.00,429
"leurs",2952.00,5802.00,5,4199.00,432
"fois",3311.00,5792.00,4,250.00,433
"mercredi",1913.00,5774.00,8,572.00,435
"depuis",3669.00,5763.00,6,2098.00,436
"mot",2899.00,5762.00,3,6872.00,437
"analyse",2613.00,5753.00,7,6738.00,438
