"word","urlcount","totalcount","wordLen","Random Number","Rank"
"und",4704.00,52361.00,3,773.00,1
"der",4540.00,51504.00,3,4844.00,2
"die",4171.00,45069.00,3,194.00,3
"in",4120.00,29299.00,2,592.00,4
"für",4129.00,22054.00,3,7081.00,5
"von",3371.00,16831.00,3,2120.00,6
"sie",3359.00,14922.00,3,3007.00,7
"mit",3246.00,14038.00,3,7801.00,8
"das",3310.00,13840.00,3,7171.00,9
"den",3178.00,13602.00,3,6211.00,10
"im",3335.00,13396.00,2,8345.00,11
"des",2889.00,13183.00,3,6883.00,12
"zu",3177.00,13182.00,2,6102.00,13
"de",2720.00,10803.00,2,8548.00,15
"ist",2817.00,10265.00,3,9859.00,16
"auf",2990.00,10232.00,3,5893.00,17
"eine",2521.00,8460.00,4,2204.00,18
"oder",2071.00,8007.00,4,2943.00,19
"mehr",1746.00,7649.00,4,6069.00,21
"werden",2207.00,7590.00,6,6279.00,22
"ein",2565.00,7506.00,3,2753.00,23
"bei",2214.00,7125.00,3,6756.00,24
"zum",2694.00,7061.00,3,4995.00,25
"an",2507.00,6919.00,2,4129.00,26
"zur",2440.00,6863.00,3,7563.00,27
"dem",2275.00,6813.00,3,7930.00,28
"sich",2409.00,6781.00,4,717.00,29
"nicht",1970.00,6617.00,5,8151.00,30
"sind",2126.00,6145.00,4,3358.00,31
"über",2405.00,5818.00,4,9534.00,32
"auch",1972.00,5720.00,4,4430.00,34
"als",1995.00,5669.00,3,8815.00,36
"aus",2192.00,5548.00,3,2701.00,37
"nach",1897.00,5476.00,4,8046.00,39
"Medizin",1015.00,4812.00,7,449.00,43
"Therapie",664.00,4513.00,8,634.00,45
"es",1684.00,4483.00,2,6973.00,46
"einer",1600.00,4328.00,5,4988.00,47
"am",1752.00,4258.00,2,7499.00,48
"Berlin",1005.00,4245.00,6,3488.00,49
"Impressum",3286.00,4205.00,9,44.00,50
"online",1873.00,4172.00,6,1666.00,52
"wird",1604.00,4140.00,4,9224.00,53
"durch",1560.00,4097.00,5,3415.00,55
"Informationen",1812.00,3895.00,13,8004.00,56
"bis",1401.00,3689.00,3,4347.00,57
"Kontakt",2357.00,3680.00,7,732.00,58
"wir",1588.00,3562.00,3,8272.00,60
"können",1597.00,3475.00,6,559.00,61
"wie",1396.00,3410.00,3,1362.00,64
"hier",1872.00,3400.00,4,9313.00,65
"Stadt",984.00,3323.00,5,3574.00,66
"um",1589.00,3270.00,2,6902.00,67
"alle",1579.00,2985.00,4,2689.00,69
"hat",1274.00,2933.00,3,4341.00,73
"einen",1545.00,2897.00,5,7918.00,75
"Deutschland",1257.00,2896.00,11,3037.00,76
"nur",1304.00,2844.00,3,4140.00,78
"kann",1104.00,2786.00,4,4495.00,80
"so",1219.00,2730.00,2,3676.00,82
"vor",1368.00,2730.00,3,7860.00,82
"ihre",1460.00,2724.00,4,4619.00,83
"suche",1672.00,2694.00,5,9826.00,84
"Dr",863.00,2673.00,2,6291.00,85
"haben",1342.00,2620.00,5,3684.00,86
"unter",1335.00,2540.00,5,9643.00,88
"diese",1309.00,2518.00,5,3592.00,89
"vom",1181.00,2516.00,3,5375.00,90
"einem",1208.00,2506.00,5,9466.00,91
"links",1330.00,2423.00,5,1323.00,92
"Mail",1233.00,2392.00,4,4542.00,93
"uns",1303.00,2379.00,3,1588.00,94
"Service",1296.00,2377.00,7,9901.00,95
"http",405.00,2357.00,4,8994.00,96
"wenn",942.00,2352.00,4,2905.00,97
"Seite",1212.00,2330.00,5,7859.00,98
"Info",1119.00,2218.00,4,676.00,100
"finden",1379.00,2172.00,6,6412.00,102
"Gmbh",989.00,2036.00,4,1570.00,107
"dieser",1090.00,2034.00,6,8844.00,108
"weitere",1178.00,2034.00,7,6542.00,108
"was",937.00,1989.00,3,818.00,109
"Wirtschaft",1019.00,1989.00,10,1169.00,109
"Internet",1070.00,1980.00,8,4857.00,110
"sowie",1022.00,1964.00,5,5600.00,111
"noch",991.00,1898.00,4,5024.00,113
"Uhr",505.00,1896.00,3,2207.00,114
"weiter",635.00,1874.00,6,7760.00,116
"neue",1047.00,1852.00,4,148.00,118
"ich",476.00,1838.00,3,8106.00,119
"Forschung",1070.00,1731.00,9,6510.00,121
"wurde",854.00,1690.00,5,3941.00,122
"Gesundheit",896.00,1685.00,10,5382.00,123
"Tel",627.00,1673.00,3,5490.00,124
"Geschichte",582.00,1670.00,10,1190.00,125
"News",962.00,1657.00,4,3118.00,126
"deutschen",782.00,1640.00,9,9525.00,128
"aber",897.00,1625.00,4,2745.00,129
"ihr",1070.00,1607.00,3,9650.00,131
"Seiten",820.00,1601.00,6,472.00,132
"Homepage",651.00,1588.00,8,8522.00,135
"Startseite",1036.00,1570.00,10,292.00,136
"ab",874.00,1561.00,2,1921.00,137
"aktuelle",1067.00,1558.00,8,1947.00,138
"Kultur",839.00,1525.00,6,9173.00,140
"keine",829.00,1520.00,5,7948.00,141
"eines",787.00,1517.00,5,5778.00,143
"bitte",969.00,1471.00,5,6311.00,145
"presse",1022.00,1454.00,6,5801.00,147
"Themen",803.00,1450.00,6,7913.00,148
"Artikel",350.00,1429.00,7,4955.00,151
"aktuelles",889.00,1411.00,9,4660.00,152
"Hilfe",945.00,1406.00,5,1039.00,153
"Tv",341.00,1406.00,2,7716.00,153
"Hamburg",474.00,1383.00,7,7041.00,156
"sein",704.00,1379.00,4,1459.00,157
"Bayern",342.00,1377.00,6,42.00,158
"deutsche",692.00,1372.00,8,6228.00,159
"ihnen",876.00,1363.00,5,1988.00,161
"München",463.00,1363.00,7,5884.00,161
"Veranstaltungen",831.00,1342.00,15,2313.00,165
"Asthma",511.00,1341.00,6,9235.00,166
"Patienten",430.00,1335.00,9,8769.00,167
"er",549.00,1318.00,2,1343.00,170
"gegen",554.00,1311.00,5,5393.00,171
"Thema",774.00,1297.00,5,6623.00,172
"Forum",505.00,1285.00,5,3625.00,173
"zurück",864.00,1283.00,6,8374.00,174
"fragen",806.00,1272.00,6,655.00,175
"seit",735.00,1269.00,4,5190.00,176
"unternehmen",719.00,1235.00,11,9526.00,180
"unsere",836.00,1227.00,6,3443.00,181
"November",679.00,1219.00,8,1760.00,183
"Sport",668.00,1219.00,5,2927.00,183
"ihrer",755.00,1218.00,5,5960.00,184
"Html",250.00,1212.00,4,7977.00,185
"Information",681.00,1203.00,11,3904.00,187
"Infos",577.00,1203.00,5,2185.00,187
"Politik",693.00,1196.00,7,6138.00,188
"man",581.00,1186.00,3,1988.00,191
"Font",36.00,1169.00,4,7116.00,192
"anderen",688.00,1164.00,7,4728.00,195
"Allergie",502.00,1162.00,8,4803.00,196
"Art",366.00,1159.00,3,5288.00,197
"ohne",656.00,1157.00,4,7487.00,198
"Jahr",650.00,1150.00,4,1065.00,199
"Nachrichten",652.00,1143.00,11,5015.00,200
"Fax",648.00,1139.00,3,6861.00,201
"Kinder",495.00,1136.00,6,5179.00,202
"Netzwerk",575.00,1133.00,8,5019.00,204
"Menschen",575.00,1129.00,8,3584.00,205
"Mecklenburg",250.00,1128.00,11,6712.00,206
"Top",449.00,1120.00,3,7899.00,207
"Schleswig",181.00,1108.00,9,1555.00,209
"aktuell",760.00,1107.00,7,4573.00,210
"gibt",693.00,1085.00,4,9385.00,211
"beim",718.00,1073.00,4,4254.00,212
"damit",665.00,1072.00,5,9201.00,213
"andere",627.00,1055.00,6,8761.00,215
"Stuttgart",283.00,1045.00,9,7249.00,216
"Hotel",203.00,1037.00,5,2446.00,219
"wurden",558.00,1036.00,6,9463.00,220
"Euro",446.00,1028.00,4,105.00,221
"Services",678.00,1021.00,8,9042.00,223
"Holstein",179.00,1010.00,8,6469.00,226
"ihren",691.00,1006.00,5,5857.00,227
"wieder",596.00,1001.00,6,9450.00,228
"neuen",634.00,997.00,5,8227.00,229
"Copyright",892.00,993.00,9,2447.00,230
"Köln",347.00,987.00,4,3273.00,233
"suchen",668.00,986.00,6,3799.00,234
"zeit",561.00,984.00,4,4721.00,235
"war",451.00,983.00,3,9825.00,236
"jetzt",586.00,978.00,5,9776.00,237
"dann",581.00,974.00,4,9588.00,238
"Universität",466.00,973.00,11,7632.00,239
"Jahren",605.00,963.00,6,9740.00,242
"Telefon",549.00,958.00,7,2635.00,243
"Krebs",502.00,957.00,5,5737.00,244
"Archiv",581.00,955.00,6,7350.00,245
"Frauen",428.00,951.00,6,5920.00,246
"Aids",500.00,944.00,4,5606.00,247
"Medien",509.00,935.00,6,715.00,249
"Termine",618.00,935.00,7,3231.00,249
"heute",565.00,927.00,5,2434.00,250
"dieses",539.00,924.00,6,8225.00,251
"Jahre",547.00,918.00,5,4960.00,252
"zwischen",553.00,914.00,8,3350.00,254
"Text",306.00,911.00,4,4751.00,255
"Behandlung",428.00,911.00,10,2398.00,255
"Media",624.00,907.00,5,3747.00,257
"Region",433.00,907.00,6,8702.00,257
"Land",455.00,905.00,4,6794.00,258
"Studie",339.00,903.00,6,5095.00,259
"Bildung",543.00,900.00,7,2318.00,260
"diesem",609.00,897.00,6,3188.00,261
"baden",288.00,897.00,5,2871.00,261
"Ag",471.00,888.00,2,4884.00,263
"Daten",450.00,881.00,5,202.00,264
"immer",579.00,874.00,5,6060.00,265
"bzw",490.00,868.00,3,828.00,266
"diesen",553.00,862.00,6,2230.00,267
"leben",552.00,862.00,5,9959.00,267
"Index",414.00,859.00,5,5020.00,268
"Inhalt",558.00,857.00,6,8147.00,269
"Hannover",146.00,847.00,8,4479.00,272
"Institut",367.00,846.00,8,4520.00,273
"verkehr",455.00,840.00,7,7337.00,276
"Nrw",208.00,839.00,3,901.00,277
"dies",496.00,837.00,4,75.00,278
"Bereich",583.00,832.00,7,9606.00,279
"da",524.00,829.00,2,4739.00,280
"rund",587.00,828.00,4,3887.00,281
"Medikamente",542.00,823.00,11,2506.00,282
"Arzt",391.00,823.00,4,6234.00,282
"Wissenschaft",503.00,823.00,12,2830.00,282
"Tourismus",537.00,819.00,9,2358.00,283
"Arbeit",530.00,819.00,6,4107.00,283
"Dezember",437.00,818.00,8,9095.00,284
"zwei",488.00,811.00,4,9047.00,286
"Umwelt",467.00,810.00,6,1487.00,287
"viele",560.00,809.00,5,4129.00,288
"Vorpommern",225.00,808.00,10,6448.00,289
