"word","urlcount","totalcount","wordLen","Random Number"
"και",5678.00,98632.00,3,4377.00
"και",5649.00,96382.00,3,2432.00
"της",5309.00,73988.00,3,7248.00
"του",5568.00,73422.00,3,5240.00
"το",5191.00,70202.00,2,1064.00
"του",5181.00,69930.00,3,4922.00
"της",5529.00,60143.00,3,2012.00
"να",5094.00,58849.00,2,1693.00
"από",6253.00,55269.00,3,5434.00
"την",5702.00,55227.00,3,3765.00
"την",5601.00,51634.00,3,463.00
"για",5768.00,48550.00,3,1973.00
"των",6127.00,47391.00,3,4661.00
"να",4286.00,45277.00,2,6895.00
"τα",6422.00,45206.00,2,508.00
"από",5352.00,42215.00,3,5138.00
"με",5100.00,41589.00,2,5225.00
"στο",5840.00,41249.00,3,8455.00
"για",5291.00,39504.00,3,9571.00
"στην",6009.00,38453.00,4,6515.00
"που",4508.00,37420.00,3,3696.00
"που",4210.00,35659.00,3,2126.00
"των",4729.00,33801.00,3,5638.00
"gr",7912.00,31365.00,2,1320.00
"οι",5091.00,28657.00,2,3413.00
"σε",4340.00,26247.00,2,2458.00
"είναι",3882.00,24610.00,5,328.00
"psilon",230.00,23194.00,6,299.00
"τη",4413.00,22247.00,2,4236.00
"τον",4440.00,21532.00,3,8312.00
"σας",5371.00,21481.00,3,612.00
"δεν",4114.00,21046.00,3,1675.00
"θα",3636.00,21021.00,2,5652.00
"μας",5073.00,17337.00,3,3130.00
"στη",3943.00,16713.00,3,2141.00
"micron",241.00,16221.00,6,7970.00
"ότι",3267.00,16202.00,3,9227.00
"στις",3725.00,14787.00,4,3513.00
"ένα",3960.00,13948.00,3,1031.00
"ota",205.00,13574.00,3,3602.00
"au",195.00,13200.00,2,7247.00
"greece",2161.00,10653.00,6,8886.00
"pm",599.00,8997.00,2,9609.00
"www",3082.00,8066.00,3,5474.00
"έχουν",2305.00,7403.00,5,8123.00
"ήταν",1987.00,6403.00,4,6743.00
"αν",2278.00,6378.00,2,4689.00
"όπως",2673.00,6099.00,4,5626.00
"κατά",2191.00,6056.00,4,3550.00
"online",2686.00,5988.00,6,3736.00
"αυτή",2723.00,5971.00,4,6267.00
"σελίδα",3405.00,5663.00,6,7606.00
"μου",1742.00,5509.00,3,8000.00
"στους",2440.00,5031.00,5,5834.00
"όπως",1832.00,4944.00,4,3442.00
"κάθε",2049.00,4810.00,4,1986.00
"μπορεί",1907.00,4691.00,6,7430.00
"όμως",1825.00,4613.00,4,6005.00
"περισσότερα",1639.00,4427.00,11,3677.00
"πρέπει",1666.00,4407.00,6,1900.00
"πιο",1879.00,4396.00,3,1673.00
"οποία",1971.00,4256.00,5,8748.00
"αθήνα",657.00,4248.00,5,979.00
"κι",1378.00,4126.00,2,1275.00
"Νέα",2029.00,3890.00,3,5215.00
"όλα",2080.00,3852.00,3,9374.00
"πρέπει",1332.00,3742.00,6,1242.00
"πολύ",1583.00,3733.00,4,9347.00
"πόλη",615.00,3676.00,4,16.00
"χωρίς",2051.00,3649.00,5,7357.00
"άρθρα",1702.00,3542.00,5,8120.00
