"word","urlcount","totalcount","wordLen","Random Number"
"de",5504.00,140862.00,2,9347.00
"do",4575.00,39800.00,2,8857.00
"da",4495.00,39797.00,2,4301.00
"em",3734.00,23874.00,2,4080.00
"que",2927.00,23238.00,3,9856.00
"para",3685.00,19840.00,4,3537.00
"com",3101.00,19736.00,3,9977.00
"os",3579.00,16747.00,2,9014.00
"no",3079.00,14670.00,2,6468.00
"um",2721.00,12314.00,2,885.00
"dos",2818.00,12272.00,3,1784.00
"se",2580.00,12147.00,2,7474.00
"na",2932.00,11731.00,2,5744.00
"as",2708.00,11479.00,2,8970.00
"por",2688.00,11402.00,3,4389.00
"uma",2332.00,9609.00,3,5358.00
"das",2437.00,9282.00,3,7304.00
"não",1791.00,9010.00,3,8393.00
"ou",1886.00,8749.00,2,3149.00
"ao",2548.00,8259.00,2,9118.00
"mais",2185.00,7650.00,4,8701.00
"Portugal",2435.00,6343.00,8,6523.00
"como",1831.00,5514.00,4,3526.00
"nacional",1631.00,4661.00,8,6940.00
"nos",1883.00,4570.00,3,8331.00
"Lisboa",1533.00,4563.00,6,4212.00
"sobre",1799.00,4351.00,5,1541.00
"serviços",1650.00,4232.00,8,9326.00
"ser",1298.00,4006.00,3,6053.00
"informação",1726.00,3996.00,10,6460.00
"to",496.00,3959.00,2,3081.00
"Internet",1433.00,3836.00,8,1813.00
"sua",1461.00,3815.00,3,6482.00
"todos",2384.00,3796.00,5,327.00
"seu",1482.00,3603.00,3,7736.00
"artigo",250.00,3141.00,6,7881.00
"pelo",1216.00,3088.00,4,6287.00
"são",1278.00,3077.00,3,4946.00
"universidade",876.00,3020.00,12,240.00
"porto",995.00,2931.00,5,2224.00
"pela",1205.00,2906.00,4,5006.00
"Novembro",1167.00,2838.00,8,4623.00
"for",650.00,2781.00,3,2581.00
"às",1125.00,2745.00,2,4853.00
"contactos",2025.00,2672.00,9,9350.00
"aos",1232.00,2632.00,3,7061.00
"mail",1092.00,2612.00,4,1390.00
"página",1486.00,2607.00,6,3802.00
"direitos",1845.00,2553.00,8,4392.00
"entre",1091.00,2485.00,5,5302.00
"centro",1086.00,2469.00,6,3491.00
"este",1213.00,2446.00,4,9062.00
"notícias",1255.00,2425.00,8,4728.00
"geral",1040.00,2372.00,5,7656.00
"pesquisa",1311.00,2365.00,8,8393.00
"acesso",1040.00,2356.00,6,3900.00
"formação",866.00,2343.00,8,7348.00
"sociedade",991.00,2322.00,9,8096.00
"dia",968.00,2320.00,3,6163.00
"portuguesa",1115.00,2279.00,10,5836.00
"lei",408.00,2239.00,3,4848.00
"foi",880.00,2205.00,3,3820.00
"joão",645.00,2153.00,4,4660.00
"nas",1031.00,2145.00,3,2108.00
"gestão",931.00,2115.00,6,8810.00
"municipal",492.00,2097.00,9,8030.00
"serviço",961.00,2051.00,7,124.00
"digital",533.00,2016.00,7,5790.00
"desenvolvimento",948.00,2014.00,15,2421.00
"is",346.00,2012.00,2,1305.00
"sem",911.00,2011.00,3,8195.00
"tem",998.00,2000.00,3,485.00
"superior",829.00,1994.00,8,9100.00
