"word","urlcount","totalcount","wordLen","Random Number"
"de",5686.00,229583.00,2,8694.00
"la",4905.00,99095.00,2,1855.00
"en",4336.00,59635.00,2,6563.00
"el",4087.00,58319.00,2,5991.00
"del",4351.00,39176.00,3,422.00
"que",3142.00,36029.00,3,2594.00
"los",3869.00,35414.00,3,5413.00
"las",3250.00,24838.00,3,5447.00
"para",3690.00,22755.00,4,8893.00
"por",3246.00,20114.00,3,2418.00
"se",2809.00,19696.00,2,8126.00
"con",3100.00,18187.00,3,5117.00
"un",2549.00,15037.00,2,7451.00
"al",2868.00,12048.00,2,5816.00
"una",2407.00,11669.00,3,7512.00
"su",2348.00,10683.00,2,2009.00
"nacional",2577.00,9895.00,8,15.00
"es",2347.00,9789.00,2,3438.00
"no",2083.00,8955.00,2,8665.00
"como",1903.00,7441.00,4,4118.00
"más",2009.00,6802.00,3,5808.00
"información",2394.00,6598.00,11,9694.00
"argentina",2223.00,6437.00,9,6929.00
"entre",1664.00,5892.00,5,3031.00
"México",1443.00,5816.00,6,1504.00
"lo",1546.00,5610.00,2,1650.00
"sus",1542.00,4929.00,3,9984.00
"sobre",1736.00,4914.00,5,6095.00
"este",1738.00,4647.00,4,6541.00
"servicios",1933.00,4434.00,9,705.00
"universidad",1086.00,4232.00,11,6911.00
"desarrollo",1363.00,4156.00,10,642.00
"gobierno",1107.00,4039.00,8,7731.00
"esta",1674.00,3961.00,4,9790.00
"general",1605.00,3954.00,7,9064.00
"federal",1205.00,3924.00,7,3954.00
"ley",677.00,3429.00,3,9492.00
"san",1123.00,3400.00,3,2888.00
"todos",1553.00,3089.00,5,7421.00
"programa",974.00,3065.00,8,3342.00
"sistema",1241.00,3034.00,7,9625.00
"ciudad",1279.00,2980.00,6,7417.00
"buenos",1189.00,2957.00,6,5490.00
"año",963.00,2951.00,3,585.00
"aires",1156.00,2902.00,5,7456.00
"WWW",1046.00,2898.00,3,2436.00
"sitio",1648.00,2896.00,5,9288.00
"turismo",614.00,2865.00,7,1221.00
"INTA",71.00,2804.00,4,8816.00
"social",1126.00,2799.00,6,8354.00
"país",1092.00,2796.00,4,4820.00
"república",1159.00,2747.00,9,9612.00
"son",1145.00,2742.00,3,5640.00
"octubre",754.00,2733.00,7,2121.00
"secretaría",1003.00,2708.00,10,1386.00
"noviembre",1396.00,2703.00,9,1188.00
"in",399.00,2691.00,2,9001.00
"estado",1003.00,2689.00,6,4832.00
"educación",868.00,2674.00,9,1811.00
"noticias",1209.00,2629.00,8,2531.00
"actividades",1118.00,2615.00,11,5852.00
"centro",1088.00,2595.00,6,7212.00
"pública",856.00,2514.00,7,3311.00
"años",885.00,2505.00,4,9664.00
"trabajo",1071.00,2481.00,7,9678.00
"instituto",752.00,2403.00,9,2306.00
"ha",825.00,2400.00,2,7114.00
"presidencia",722.00,2380.00,11,9008.00
"presidente",728.00,2327.00,10,5923.00
"si",984.00,2305.00,2,3867.00
"desde",1074.00,2275.00,5,3635.00
"biblioteca",729.00,2266.00,10,4259.00
"derechos",1387.00,2263.00,8,5751.00
"ver",899.00,2259.00,3,7536.00
"dirección",965.00,2248.00,9,1466.00
"inicio",1292.00,2233.00,6,2111.00
"facultad",609.00,2227.00,8,1749.00
"sin",942.00,2177.00,3,9118.00
"servicio",980.00,2152.00,8,2083.00
"ser",878.00,2151.00,3,7976.00
"rosario",664.00,2125.00,7,8913.00
"cada",893.00,2112.00,4,6105.00
"administración",908.00,2035.00,14,8471.00
"otros",1173.00,2010.00,5,437.00
"http",348.00,1987.00,4,9586.00
"ríos",522.00,1982.00,4,8066.00
"empresas",934.00,1960.00,8,1735.00
"página",1335.00,1947.00,6,7359.00
"Web",857.00,1933.00,3,3905.00
"recursos",803.00,1932.00,8,8334.00
"día",710.00,1929.00,3,5145.00
"ciencias",609.00,1928.00,8,8937.00
