"word","urlcount","totalcount","wordLen","Random Number"
"de",2899.00,96619.00,2,6365.00
"la",2352.00,40868.00,2,5623.00
"en",2323.00,28751.00,2,6117.00
"el",2049.00,26925.00,2,6426.00
"que",1473.00,16880.00,3,2549.00
"del",2230.00,15840.00,3,8165.00
"los",1848.00,15692.00,3,7882.00
"las",1630.00,11074.00,3,5963.00
"por",1457.00,8515.00,3,6028.00
"para",1502.00,7806.00,4,6785.00
"con",1630.00,7624.00,3,8280.00
"se",1097.00,7563.00,2,7157.00
"es",1770.00,7438.00,2,5284.00
"un",1349.00,7356.00,2,475.00
"una",1214.00,5800.00,3,4068.00
"al",1347.00,5766.00,2,4081.00
"no",995.00,4617.00,2,4369.00
"su",962.00,4451.00,2,772.00
"madrid",1093.00,3615.00,6,8899.00
"más",1068.00,3495.00,3,4705.00
"españa",1262.00,3279.00,6,1975.00
"como",788.00,3095.00,4,9399.00
"sobre",967.00,2999.00,5,7510.00
"información",1116.00,2708.00,11,8220.00
"biblioteca",660.00,2571.00,10,3054.00
"lo",775.00,2519.00,2,3256.00
"internet",933.00,2037.00,8,9283.00
"universidad",448.00,2021.00,11,9575.00
"servicios",800.00,1958.00,9,6434.00
"noticias",742.00,1955.00,8,5912.00
"español",929.00,1894.00,7,6397.00
"este",693.00,1869.00,4,6333.00
"datos",446.00,1747.00,5,2502.00
"todos",984.00,1712.00,5,1314.00
"sus",569.00,1706.00,3,5760.00
"tu",582.00,1653.00,2,7824.00
"sociedad",466.00,1600.00,8,8314.00
"instituto",802.00,1563.00,9,8954.00
"indice",357.00,1534.00,6,457.00
"empleo",649.00,1529.00,6,1960.00
"entre",552.00,1524.00,5,8420.00
"ha",569.00,1505.00,2,4670.00
"josé",423.00,1493.00,4,7727.00
"esta",586.00,1486.00,4,3814.00
"general",657.00,1448.00,7,2856.00
"cultura",746.00,1439.00,7,4847.00
"servicio",563.00,1438.00,8,1854.00
"edición",363.00,1436.00,7,3983.00
"si",491.00,1433.00,2,8457.00
"formación",651.00,1409.00,9,9501.00
"derechos",806.00,1392.00,8,1022.00
"mar",193.00,1385.00,3,3816.00
"becas",509.00,1377.00,5,2373.00
"correo",533.00,1319.00,6,2896.00
"página",815.00,1288.00,6,6811.00
"desde",508.00,1278.00,5,7262.00
"tiempo",485.00,1273.00,6,5415.00
"prensa",743.00,1229.00,6,8920.00
"española",477.00,1199.00,8,5421.00
"digital",440.00,1184.00,7,2353.00
"política",698.00,1171.00,8,401.00
"educación",417.00,1160.00,9,1906.00
"todo",560.00,1149.00,4,565.00
"estudios",436.00,1149.00,8,3013.00
"cursos",503.00,1143.00,6,94.00
"real",370.00,1126.00,4,6758.00
"internacional",618.00,1103.00,13,3533.00
"viajes",337.00,1103.00,6,4864.00
"nacional",475.00,1098.00,8,8776.00
"sin",409.00,1084.00,3,5472.00
"enlaces",615.00,1044.00,7,8209.00
"ley",133.00,1039.00,3,8350.00
"revista",285.00,1037.00,7,1032.00
"usuario",378.00,1002.00,7,8104.00
"ser",378.00,1001.00,3,2288.00
"foros",580.00,995.00,5,8779.00
"historia",360.00,972.00,8,672.00
"barcelona",399.00,961.00,9,2468.00
"años",357.00,956.00,4,801.00
"noviembre",435.00,943.00,9,9469.00
"inicio",683.00,942.00,6,6401.00
"juegos",388.00,933.00,6,8459.00
"sistema",332.00,922.00,7,8009.00
"ayuda",536.00,920.00,5,8504.00
"ocio",401.00,917.00,4,5756.00
"trabajo",443.00,911.00,7,695.00
"portada",634.00,909.00,7,3291.00
"universidades",313.00,892.00,13,1368.00
"acceso",369.00,892.00,6,7958.00
"otros",458.00,875.00,5,4087.00
"son",414.00,869.00,3,4198.00
"mundo",488.00,861.00,5,8348.00
"comunicación",411.00,856.00,12,412.00
"les",275.00,855.00,3,3691.00
"también",335.00,840.00,7,8217.00
"investigación",402.00,839.00,13,4768.00
"puede",369.00,837.00,5,7211.00
"reservados",726.00,834.00,10,1918.00
"programa",341.00,828.00,8,4611.00
"turismo",321.00,824.00,7,4105.00
"juan",315.00,823.00,4,393.00
"dirección",352.00,820.00,9,6206.00
"red",386.00,817.00,3,6249.00
"año",358.00,812.00,3,9202.00
"ya",360.00,810.00,2,3714.00
"cine",424.00,808.00,4,1081.00
"dos",401.00,808.00,3,6737.00
"gobierno",254.00,807.00,8,5470.00
"cada",372.00,807.00,4,7297.00
"legal",724.00,803.00,5,1637.00
"parte",346.00,802.00,5,4114.00
"ofertas",296.00,800.00,7,296.00
"recursos",387.00,792.00,8,1501.00
"administración",223.00,788.00,14,6443.00
"actividades",367.00,787.00,11,5100.00
"fax",513.00,785.00,3,1615.00
"páginas",246.00,783.00,7,179.00
"buscador",534.00,783.00,8,5286.00
"antonio",236.00,782.00,7,5159.00
"humor",366.00,779.00,5,4735.00
"nueva",406.00,774.00,5,6210.00
"miguel",217.00,773.00,6,418.00
"valencia",348.00,771.00,8,3419.00
"personal",237.00,769.00,8,7883.00
"ver",389.00,769.00,3,8437.00
"te",304.00,768.00,2,2514.00
"hoy",267.00,746.00,3,1083.00
"fútbol",365.00,746.00,6,289.00
"guía",421.00,745.00,4,8045.00
"portal",449.00,744.00,6,1100.00
"público",351.00,740.00,7,8341.00
"gestión",368.00,739.00,7,6439.00
"social",268.00,739.00,6,1754.00
"total",282.00,738.00,5,855.00
"centro",374.00,737.00,6,84.00
"derecho",186.00,737.00,7,9807.00
"le",279.00,736.00,2,3667.00
"pero",300.00,733.00,4,9706.00
"día",387.00,733.00,3,4817.00
"motor",369.00,724.00,5,7426.00
"luis",245.00,720.00,4,6380.00
"buscar",556.00,720.00,6,2878.00
"artículo",136.00,714.00,8,9333.00
"cuando",201.00,706.00,6,4239.00
"caso",214.00,703.00,4,5726.00
"condiciones",396.00,698.00,11,8393.00
"superior",392.00,689.00,8,9908.00
"gran",360.00,686.00,4,1318.00
"mapa",528.00,685.00,4,6016.00
"dele",317.00,685.00,4,1203.00
"empresas",342.00,685.00,8,7240.00
"cualquier",344.00,681.00,9,8482.00
"salud",348.00,680.00,5,9604.00
"han",345.00,677.00,3,9093.00
"hasta",337.00,673.00,5,9919.00
"usuarios",249.00,673.00,8,9527.00
"estado",246.00,670.00,6,2411.00
"así",260.00,668.00,3,9453.00
"publicidad",457.00,667.00,10,7325.00
"sólo",288.00,667.00,4,6306.00
"está",379.00,667.00,4,9923.00
"deportes",330.00,662.00,8,3129.00
"través",325.00,660.00,6,611.00
"música",356.00,655.00,6,544.00
"tecnología",404.00,655.00,10,1436.00
"carlos",274.00,654.00,6,7436.00
"ministerio",292.00,650.00,10,3498.00
"ro",53.00,650.00,2,2545.00
"as",157.00,648.00,2,1944.00
"europa",295.00,647.00,6,7337.00
"forma",303.00,645.00,5,5492.00
"somos",510.00,643.00,5,2808.00
"universitarios",260.00,635.00,14,2292.00
"fotos",286.00,630.00,5,2129.00
"revistas",149.00,625.00,8,8152.00
"texto",176.00,623.00,5,7645.00
"fin",228.00,619.00,3,3866.00
"uso",224.00,614.00,3,8979.00
"número",219.00,612.00,6,1430.00
"país",218.00,612.00,4,485.00
"qué",291.00,611.00,3,4377.00
"archivo",295.00,611.00,7,2114.00
"libro",297.00,610.00,5,9373.00
"postales",264.00,605.00,8,8266.00
"categorías",251.00,605.00,10,3518.00
"nuevo",314.00,601.00,5,7093.00
"calidad",260.00,587.00,7,8751.00
"licenciado",35.00,586.00,10,8694.00
"otras",346.00,581.00,5,8727.00
"economía",307.00,581.00,8,6837.00
"semana",254.00,580.00,6,8592.00
"julio",227.00,578.00,5,7868.00
"comunidad",341.00,577.00,9,1511.00
"compras",292.00,577.00,7,7558.00
"desarrollo",260.00,567.00,10,3606.00
"toda",359.00,564.00,4,4983.00
"ciencias",176.00,564.00,8,9812.00
"electrónico",260.00,563.00,11,224.00
"fue",189.00,562.00,3,1325.00
"grupo",270.00,558.00,5,7189.00
"francisco",225.00,558.00,9,856.00
"medio",290.00,555.00,5,7665.00
"medios",249.00,554.00,6,6590.00
"ayudas",322.00,554.00,6,2648.00
"españolas",280.00,552.00,9,1199.00
"manuel",218.00,551.00,6,2020.00
"canal",266.00,550.00,5,7122.00
"pública",206.00,547.00,7,1158.00
"guerra",116.00,546.00,6,3791.00
"actualidad",383.00,542.00,10,3687.00
"empresa",244.00,540.00,7,1885.00
"diario",214.00,535.00,6,2811.00
"virtual",322.00,534.00,7,7315.00
"uno",268.00,534.00,3,9780.00
"europea",301.00,534.00,7,3132.00
"vida",285.00,531.00,4,8612.00
"diplomas",202.00,530.00,8,2096.00
"bibliotecas",258.00,529.00,11,2943.00
"introducción",165.00,524.00,12,1511.00
"muy",239.00,524.00,3,2732.00
"quiénes",470.00,523.00,7,7826.00
"registro",269.00,522.00,8,2175.00
"debe",270.00,521.00,4,131.00
"programas",227.00,520.00,9,9627.00
"búsqueda",287.00,515.00,8,8306.00
"cómo",271.00,514.00,4,7225.00
"tiene",279.00,513.00,5,8069.00
"profesores",282.00,511.00,10,2970.00
"españoles",195.00,509.00,9,2374.00
"aula",211.00,507.00,4,4617.00
"aviso",484.00,507.00,5,3251.00
"maría",200.00,506.00,5,9253.00
"alumnos",257.00,505.00,7,8311.00
"proyecto",218.00,504.00,8,6925.00
"accesos",213.00,499.00,7,353.00
"sección",427.00,498.00,7,9634.00
"además",282.00,498.00,6,2551.00
"vez",243.00,497.00,3,894.00
"todas",302.00,496.00,5,7519.00
"interés",334.00,493.00,7,3072.00
"carácter",111.00,493.00,8,9631.00
"be",80.00,491.00,2,6835.00
"seguridad",205.00,490.00,9,4231.00
"agenda",357.00,489.00,6,5825.00
"notas",140.00,488.00,5,1269.00
"local",244.00,484.00,5,2843.00
"ni",177.00,484.00,2,92.00
"resultados",249.00,484.00,10,2798.00
"ciencia",250.00,484.00,7,936.00
"sala",346.00,482.00,4,1731.00
"tanto",220.00,480.00,5,8948.00
"centros",223.00,479.00,7,817.00
"mujeres",254.00,477.00,7,7406.00
"artículos",212.00,477.00,9,7766.00
"curso",195.00,477.00,5,7233.00
"ciudad",344.00,476.00,6,5434.00
"especial",293.00,476.00,8,8213.00
"concursos",293.00,475.00,9,1779.00
"días",246.00,475.00,4,8848.00
"gratis",251.00,474.00,6,9116.00
"civil",123.00,474.00,5,4788.00
"pedro",117.00,473.00,5,7052.00
"primera",259.00,473.00,7,3329.00
"entretenimiento",124.00,472.00,15,6206.00
"nos",197.00,471.00,3,3307.00
"primer",243.00,471.00,6,2190.00
"protección",102.00,467.00,10,7239.00
"san",244.00,464.00,3,2405.00
"mejor",316.00,463.00,5,4542.00
"mujer",237.00,463.00,5,8282.00
"personas",230.00,463.00,8,9724.00
"actividad",242.00,461.00,9,5338.00
"canarias",186.00,461.00,8,356.00
"relaciones",217.00,460.00,10,1627.00
"vuelos",86.00,460.00,6,2925.00
"publicaciones",225.00,456.00,13,2734.00
"durante",207.00,453.00,7,569.00
"cocina",222.00,450.00,6,3323.00
"contra",180.00,448.00,6,364.00
"mismo",190.00,445.00,5,5399.00
"arte",227.00,445.00,4,1751.00
"hay",219.00,443.00,3,1035.00
"socios",138.00,441.00,6,8144.00
"atención",348.00,441.00,8,5962.00
"públicas",135.00,440.00,8,2449.00
"novedades",360.00,435.00,9,9971.00
"finanzas",277.00,435.00,8,4123.00
"previsión",83.00,434.00,9,9639.00
"cultural",252.00,434.00,8,4094.00
"sido",208.00,431.00,4,7088.00
"are",85.00,431.00,3,356.00
"deporte",190.00,431.00,7,2872.00
"cuenta",213.00,429.00,6,8578.00
"consejo",197.00,428.00,7,3590.00
"otro",187.00,426.00,4,2024.00
"similares",67.00,422.00,9,8923.00
"será",175.00,421.00,4,4520.00
"pueden",231.00,420.00,6,5793.00
"generales",265.00,418.00,9,297.00
"gente",198.00,418.00,5,615.00
"octubre",192.00,418.00,7,371.00
"culture",147.00,418.00,7,7606.00
"código",309.00,417.00,6,3135.00
"libros",227.00,416.00,6,864.00
"acerca",294.00,416.00,6,508.00
"donde",223.00,415.00,5,6599.00
"plan",159.00,411.00,4,2964.00
"tres",236.00,411.00,4,2775.00
"nombre",264.00,410.00,6,7549.00
"diciembre",192.00,409.00,9,7134.00
"defensa",65.00,409.00,7,1842.00
"fundación",198.00,407.00,9,9113.00
"hacer",229.00,407.00,5,3485.00
"telefónica",200.00,405.00,10,5605.00
"estos",227.00,404.00,5,7789.00
"director",195.00,398.00,8,7303.00
"comisión",101.00,397.00,8,257.00
"sede",181.00,394.00,4,73.00
"etc",231.00,394.00,3,7408.00
"software",234.00,393.00,8,543.00
"granada",235.00,390.00,7,3406.00
"según",199.00,390.00,5,8586.00
"caché",41.00,390.00,5,9071.00
"principal",307.00,389.00,9,507.00
"tus",244.00,389.00,3,1806.00
"acuerdo",148.00,389.00,7,932.00
"euros",135.00,387.00,5,3573.00
"estudio",187.00,386.00,7,7969.00
"oferta",199.00,385.00,6,630.00
"mañana",118.00,385.00,6,1187.00
"partido",76.00,384.00,7,3070.00
"vivienda",235.00,384.00,8,1768.00
"periódico",172.00,381.00,9,6392.00
"anuncios",237.00,381.00,8,1116.00
"tipo",223.00,377.00,4,4916.00
"ante",203.00,377.00,4,847.00
"amor",128.00,377.00,4,5585.00
"hoteles",139.00,376.00,7,166.00
"mensajes",80.00,376.00,8,5068.00
"córdoba",234.00,376.00,7,4910.00
"dossier",223.00,373.00,7,8905.00
"lengua",149.00,372.00,6,849.00
"sitio",257.00,372.00,5,4537.00
"televisión",217.00,372.00,10,6183.00
"mi",193.00,371.00,2,9906.00
"poder",190.00,371.00,5,8973.00
