"word","urlcount","totalcount","wordLen","Random Number"
"och",3851.00,44714.00,3,2612.00
"för",3613.00,25155.00,3,1902.00
"and",1756.00,24059.00,3,6874.00
"att",2824.00,22632.00,3,2029.00
"in",3172.00,20128.00,2,7213.00
"på",3307.00,19791.00,2,6802.00
"som",2950.00,19703.00,3,803.00
"av",3088.00,19513.00,2,7928.00
"om",3328.00,17954.00,2,1083.00
"en",2801.00,17698.00,2,5986.00
"till",3352.00,17577.00,4,2974.00
"är",2985.00,16118.00,2,680.00
"se",3523.00,15779.00,2,5883.00
"med",2985.00,14883.00,3,4667.00
"det",2197.00,11969.00,3,4341.00
"for",1555.00,10910.00,3,5081.00
"den",2145.00,10429.00,3,205.00
"har",2285.00,10358.00,3,7206.00
"is",1149.00,9206.00,2,5043.00
"ett",2196.00,8872.00,3,3079.00
"du",1955.00,8788.00,2,1214.00
"de",1933.00,8035.00,2,9410.00
"eller",1767.00,7482.00,5,7340.00
"kan",2045.00,6952.00,3,3724.00
"från",1925.00,5674.00,4,9700.00
"information",2298.00,5593.00,11,9416.00
"inte",1313.00,5497.00,4,7264.00
"mer",1681.00,5452.00,3,882.00
"vi",1557.00,5209.00,2,8793.00
"Ab",1015.00,4784.00,2,2677.00
"by",1063.00,4685.00,2,6695.00
"vid",1539.00,4641.00,3,2910.00
"läs",1171.00,4605.00,3,8531.00
"be",709.00,4243.00,2,5003.00
"Stockholm",1870.00,4188.00,9,325.00
"här",1823.00,4093.00,3,8959.00
"as",682.00,3757.00,2,1641.00
"If",467.00,3565.00,2,9697.00
"finns",1500.00,3531.00,5,185.00
"man",934.00,3366.00,3,5812.00
"inom",1448.00,3343.00,4,5509.00
"under",1405.00,3281.00,5,4163.00
"from",799.00,3236.00,4,4399.00
"så",1150.00,3199.00,2,3301.00
"universitet",1212.00,3073.00,11,7228.00
"nyheter",1206.00,2986.00,7,3537.00
"forskning",1054.00,2758.00,9,9206.00
"skall",417.00,2755.00,5,2503.00
"ska",954.00,2708.00,3,4266.00
"får",880.00,2704.00,3,1336.00
"alla",1276.00,2685.00,4,2972.00
"an",759.00,2641.00,2,7926.00
"vill",1242.00,2561.00,4,7644.00
"oss",1506.00,2558.00,3,4525.00
"andra",1150.00,2551.00,5,5995.00
"men",931.00,2513.00,3,3830.00
"Sverige",994.00,2495.00,7,2081.00
"tel",1367.00,2484.00,3,5286.00
"sök",1333.00,2475.00,3,5233.00
"post",1206.00,2465.00,4,7136.00
"all",864.00,2390.00,3,5043.00
"nya",1112.00,2385.00,3,1417.00
"sig",955.00,2369.00,3,407.00
"svenska",992.00,2358.00,7,454.00
"hur",982.00,2326.00,3,8080.00
"jag",405.00,2322.00,3,7611.00
"not",518.00,2241.00,3,7037.00
"dig",1133.00,2206.00,3,6653.00
