"word","urlcount","totalcount","wordLen","Random Number"
"için",2370.00,11494.00,4,4820.00
"veya",986.00,10853.00,4,2039.00
"bilgi",2281.00,7871.00,5,7694.00
"müdürlüğü",1588.00,7126.00,9,3830.00
"İstanbul",1245.00,5484.00,8,4880.00
"madde",260.00,5196.00,5,2661.00
"ilgili",1207.00,5048.00,6,5862.00
"her",1351.00,4761.00,3,6589.00
"yeni",1479.00,4459.00,4,4126.00
"tarafından",1271.00,4457.00,10,4840.00
"eğitim",1346.00,4335.00,6,1369.00
"sayılı",626.00,4213.00,6,1750.00
"özel",1019.00,3844.00,4,795.00
"göre",900.00,3753.00,4,3004.00
"daha",1147.00,3690.00,4,8301.00
"diğer",1101.00,3496.00,5,6389.00
"çok",1112.00,3400.00,3,3934.00
"hakkında",1005.00,3280.00,8,5690.00
"sayfa",2208.00,3234.00,5,6291.00
"yapmak",349.00,3205.00,6,7626.00
"sosyal",952.00,3147.00,6,8182.00
"İl",749.00,3112.00,2,9024.00
"son",1223.00,3043.00,3,7581.00
"kamu",772.00,3037.00,4,3236.00
"yönetmelİk",18.00,3012.00,10,7727.00
"gibi",946.00,2938.00,4,5261.00
"sağlık",918.00,2882.00,6,6280.00
"tüm",1329.00,2879.00,3,5475.00
"sonra",894.00,2850.00,5,1410.00
"üzere",757.00,2767.00,5,7059.00
"büyük",902.00,2728.00,5,5403.00
"bakanlığı",673.00,2678.00,9,4555.00
"yapılan",898.00,2658.00,7,6329.00
"kurum",570.00,2637.00,5,6904.00
"ücret",215.00,2632.00,5,6322.00
"mücadele",287.00,2628.00,8,1635.00
"içinde",699.00,2622.00,6,5715.00
"ilişkin",420.00,2618.00,7,6849.00
"ise",799.00,2616.00,3,7884.00
"yönetim",783.00,2491.00,7,2981.00
"üye",726.00,2424.00,3,2305.00
"nın",759.00,2420.00,3,230.00
"yıl",814.00,2401.00,3,1741.00
"basın",892.00,2339.00,5,8160.00
"kültür",957.00,2289.00,6,8472.00
"başkanı",592.00,2255.00,7,3093.00
"elektronik",563.00,2214.00,10,4776.00
"gün",712.00,2197.00,3,4400.00
"be",200.00,2189.00,2,4290.00
"çalışma",740.00,2183.00,7,8523.00
"yüksek",735.00,2164.00,6,9283.00
"başkanlığı",825.00,2138.00,10,2180.00
"zİraİ",6.00,2131.00,5,2592.00
"uygun",570.00,2124.00,5,1287.00
"yılında",636.00,2123.00,7,2373.00
"araştırma",739.00,2116.00,9,6138.00
"İsteyenler",4.00,2114.00,10,6137.00
"İşlerİnİ",4.00,2113.00,8,7829.00
"karşiliğinda",5.00,2113.00,12,251.00
"ait",688.00,2096.00,3,6283.00
"ege",644.00,2080.00,3,2318.00
"olduğu",682.00,2071.00,6,4716.00
"kasım",909.00,2067.00,5,121.00
"hakları",886.00,2002.00,7,5637.00
"olmak",727.00,1998.00,5,5043.00
"arasında",796.00,1983.00,8,1864.00
"arama",894.00,1944.00,5,7765.00
"edinme",722.00,1930.00,6,7814.00
"ancak",581.00,1919.00,5,8412.00
"güvenlik",572.00,1904.00,8,9166.00
"şube",476.00,1891.00,4,7602.00
"şekilde",628.00,1886.00,7,5904.00
"yılı",729.00,1819.00,4,6214.00
"başvuru",492.00,1792.00,7,7205.00
"önemli",784.00,1791.00,6,6581.00
"dünya",697.00,1787.00,5,2042.00
"spor",742.00,1768.00,4,9006.00
"site",1284.00,1766.00,4,5301.00
"posta",878.00,1757.00,5,1126.00
"iş",375.00,1747.00,2,1941.00
"ın",608.00,1746.00,2,8027.00
"devamı",248.00,1742.00,6,6222.00
"kabul",545.00,1715.00,5,9024.00
"ilk",716.00,1705.00,3,5017.00
"İş",572.00,1669.00,2,1426.00
"görev",482.00,1668.00,5,2243.00
"uluslararası",668.00,1667.00,12,1252.00
"gerekli",545.00,1662.00,7,1120.00
"birlikte",630.00,1644.00,8,1763.00
"ticaret",591.00,1626.00,7,7078.00
"ulusal",651.00,1608.00,6,6547.00
"telefon",872.00,1604.00,7,2676.00
"İzmir",588.00,1585.00,5,5712.00
"İletişim",1093.00,1582.00,8,7273.00
"aynı",567.00,1573.00,4,8387.00
"bağlı",634.00,1551.00,5,3081.00
"cumhuriyet",450.00,1540.00,10,8191.00
"sayısı",543.00,1524.00,6,5617.00
"bölge",463.00,1521.00,5,9721.00
"türkİye",499.00,1500.00,7,6106.00
"amacıyla",502.00,1478.00,8,4684.00
"yayın",636.00,1474.00,5,1042.00
"öğretim",448.00,1466.00,7,5136.00
"kişi",483.00,1460.00,4,7983.00
"mail",813.00,1434.00,4,8810.00
"önce",545.00,1426.00,4,8518.00
"gazete",643.00,1423.00,6,2299.00
"proje",490.00,1409.00,5,9281.00
"adet",341.00,1406.00,4,8925.00
"çocuk",486.00,1377.00,5,4238.00
"fazla",491.00,1359.00,5,1788.00
"İnsan",568.00,1352.00,5,7185.00
"başkan",390.00,1349.00,6,8219.00
"açık",504.00,1338.00,4,2522.00
"kurul",284.00,1336.00,5,3762.00
"ekim",530.00,1333.00,4,4306.00
"emniyet",414.00,1329.00,7,7001.00
"resmi",663.00,1323.00,5,2007.00
"ayrıca",526.00,1311.00,6,4702.00
"yönetmelİğİ",26.00,1291.00,11,1969.00
"günü",475.00,1284.00,4,333.00
"hakkı",668.00,1282.00,5,9045.00
"sanayi",504.00,1280.00,6,2170.00
"karşı",383.00,1280.00,5,356.00
"ekonomik",528.00,1277.00,8,5349.00
"olması",441.00,1269.00,6,8630.00
"tarihli",238.00,1269.00,7,5337.00
"not",395.00,1251.00,3,3747.00
"sahip",498.00,1233.00,5,8894.00
"tıklayınız",530.00,1230.00,10,1502.00
"birliği",558.00,1230.00,7,9195.00
"kütüphane",510.00,1227.00,9,6794.00
"eylül",513.00,1223.00,5,157.00
"uygulama",467.00,1216.00,8,417.00
"İhale",409.00,1209.00,5,8257.00
"belediye",362.00,1207.00,8,4926.00
"adı",643.00,1204.00,3,1418.00
"itibaren",483.00,1199.00,8,338.00
"üç",389.00,1195.00,2,4290.00
"üzerine",415.00,1195.00,7,4974.00
"kendi",487.00,1183.00,5,3000.00
"vergi",523.00,1163.00,5,1690.00
"destek",508.00,1153.00,6,6110.00
"İşleri",501.00,1150.00,6,4353.00
"yapılacak",428.00,1140.00,9,1704.00
"türlü",412.00,1137.00,5,155.00
"bütün",494.00,1129.00,5,3555.00
"programı",521.00,1115.00,8,9868.00
"yardım",556.00,1105.00,6,4109.00
"İle",384.00,1105.00,3,5997.00
"üzerinde",477.00,1101.00,8,7432.00
"kayıt",564.00,1091.00,5,5922.00
"belirtilen",310.00,1082.00,10,4894.00
"kararı",294.00,1079.00,6,172.00
"olduğunu",374.00,1076.00,8,3881.00
"öğrenci",423.00,1060.00,7,5659.00
"tarım",393.00,1059.00,5,3218.00
"yönelik",432.00,1059.00,7,2655.00
"kuruluş",354.00,1054.00,7,9066.00
"bilim",467.00,1052.00,5,2490.00
"org",417.00,1051.00,3,5048.00
"İçin",587.00,1049.00,4,3998.00
"yok",488.00,1046.00,3,1452.00
"nedeniyle",390.00,1036.00,9,1345.00
"bankası",444.00,1034.00,7,2056.00
"yazılı",291.00,1033.00,6,2347.00
"mayıs",385.00,1031.00,5,5572.00
"veri",320.00,1023.00,4,9591.00
"başka",355.00,1018.00,5,9427.00
"dil",258.00,1015.00,3,6250.00
"dair",263.00,1013.00,4,6576.00
"üst",339.00,998.00,3,7766.00
"yıllık",407.00,998.00,6,2470.00
"ocak",389.00,997.00,4,4489.00
"çalışmaları",476.00,997.00,11,1952.00
"çevre",527.00,990.00,5,9551.00
"yargıtay",162.00,985.00,8,4261.00
"bayİlerİ",1.00,982.00,8,7875.00
"milletvekili",125.00,979.00,12,556.00
"dış",376.00,975.00,3,321.00
"mersin",208.00,958.00,6,7418.00
"söz",398.00,958.00,3,31.00
"valiliği",464.00,953.00,8,3160.00
"daire",330.00,945.00,5,9523.00
"yeniden",417.00,944.00,7,5870.00
"sadece",468.00,941.00,6,4155.00
"birinci",241.00,934.00,7,7273.00
"araç",319.00,932.00,4,8831.00
"süre",320.00,922.00,4,5114.00
"yapı",431.00,916.00,4,9696.00
"nasıl",420.00,912.00,5,4089.00
"kimlik",532.00,911.00,6,106.00
"mart",406.00,910.00,4,5486.00
"polis",266.00,910.00,5,2087.00
"emekli",311.00,907.00,6,1765.00
"altında",399.00,905.00,7,6198.00
"olacaktır",238.00,904.00,9,7681.00
"turizm",432.00,903.00,6,4915.00
"bakanı",262.00,901.00,6,7700.00
"dışında",352.00,897.00,7,2258.00
"kontrol",348.00,893.00,7,5006.00
"tespit",252.00,893.00,6,5882.00
"bugün",562.00,892.00,5,5328.00
"anayasa",160.00,892.00,7,5309.00
"herhangi",368.00,892.00,8,7599.00
"parti",119.00,889.00,5,1849.00
"temmuz",337.00,885.00,6,9529.00
"yerel",437.00,881.00,5,6879.00
"ülke",416.00,880.00,4,7186.00
"başbakanlık",377.00,874.00,11,3721.00
"İlçe",308.00,874.00,4,6526.00
"meclis",279.00,864.00,6,583.00
"bazı",397.00,862.00,4,8431.00
"İşlem",649.00,861.00,5,4034.00
"yabancı",388.00,856.00,7,441.00
"trafik",360.00,853.00,6,6980.00
"konu",457.00,852.00,4,1700.00
"grubu",414.00,850.00,5,5342.00
"makale",148.00,847.00,6,1775.00
"derneği",357.00,834.00,7,5341.00
"halk",409.00,829.00,4,1391.00
"sağlamak",295.00,828.00,8,214.00
"kuruluşlar",279.00,823.00,10,3783.00
"kapsamında",385.00,823.00,10,1869.00
"köy",248.00,818.00,3,3101.00
"radyo",254.00,816.00,5,1627.00
"geçici",215.00,813.00,6,5044.00
"hapis",53.00,809.00,5,3558.00
"ekonomi",441.00,808.00,7,1290.00
"ortak",376.00,806.00,5,571.00
"vali",240.00,805.00,4,1884.00
"yayınlar",473.00,804.00,8,3548.00
"İlgili",424.00,802.00,6,1165.00
"bulunduğu",338.00,795.00,9,852.00
"kredi",257.00,791.00,5,8984.00
"savunma",335.00,791.00,7,4891.00
"erdoğan",286.00,790.00,7,5221.00
"bilimsel",386.00,789.00,8,8537.00
"kullanıcı",419.00,788.00,9,4838.00
"saklıdır",701.00,787.00,8,224.00
"aralık",365.00,782.00,6,8602.00
"geçen",389.00,779.00,5,346.00
"çeşitli",414.00,778.00,7,8746.00
"İlk",453.00,773.00,3,563.00
"uyarınca",140.00,771.00,8,3476.00
"yapılması",322.00,770.00,9,9702.00
"sivil",399.00,766.00,5,9327.00
"font",11.00,762.00,4,9199.00
"kısa",404.00,759.00,4,8317.00
"bşk",97.00,758.00,3,4486.00
"aşağıdaki",345.00,758.00,9,1414.00
"tüzel",176.00,752.00,5,9546.00
"haritası",659.00,750.00,8,8039.00
"yardımcısı",289.00,746.00,10,8431.00
"kadın",275.00,746.00,5,726.00
"nüfus",310.00,745.00,5,219.00
"ün",302.00,745.00,2,4083.00
"gelir",295.00,745.00,5,6971.00
"bulunmaktadır",358.00,742.00,13,8473.00
"mevcut",344.00,740.00,6,5190.00
"bize",558.00,740.00,4,2499.00
"gerçek",303.00,740.00,6,2665.00
"küçük",341.00,737.00,5,322.00
"teknoloji",336.00,736.00,9,1152.00
"geri",435.00,735.00,4,98.00
"milyon",263.00,728.00,6,1415.00
"cezası",110.00,728.00,6,8991.00
"şu",431.00,724.00,2,5682.00
"yürürlüğe",209.00,724.00,9,3589.00
"faaliyet",383.00,723.00,8,6037.00
"denetim",197.00,715.00,7,9616.00
"giriş",399.00,714.00,5,1895.00
"bunun",345.00,713.00,5,8395.00
"yargı",165.00,712.00,5,4470.00
"doğru",358.00,705.00,5,6769.00
"kaynak",357.00,702.00,6,9929.00
"kalite",260.00,701.00,6,4983.00
"belge",263.00,700.00,5,5365.00
"ünİversİtesİ",186.00,699.00,12,8324.00
"bölüm",183.00,697.00,5,3003.00
"kuruluşları",305.00,696.00,11,1012.00
"özellikle",326.00,696.00,9,9218.00
"toplantı",291.00,694.00,8,1808.00
"enerji",274.00,694.00,6,5679.00
"sağlığı",205.00,691.00,7,7081.00
"İlişkin",223.00,691.00,7,2589.00
"okul",253.00,690.00,4,6077.00
"sayın",217.00,688.00,5,9443.00
"üniversite",360.00,688.00,10,5548.00
"ağustos",303.00,685.00,7,7115.00
"tıp",277.00,683.00,3,4864.00
"ihale",149.00,681.00,5,4220.00
"takip",361.00,680.00,5,1053.00
"ayrı",283.00,677.00,4,8784.00
"değişiklik",207.00,674.00,10,6170.00
"dahil",288.00,673.00,5,6190.00
"ziyaretçi",478.00,673.00,9,1388.00
"imza",141.00,672.00,4,150.00
"hangi",322.00,671.00,5,7010.00
"deniz",348.00,668.00,5,9265.00
"alİ",57.00,667.00,3,7600.00
"erişim",279.00,666.00,6,5008.00
"elde",297.00,666.00,4,8749.00
"suç",161.00,662.00,3,8295.00
"İzmİr",226.00,658.00,5,9684.00
"değil",308.00,652.00,5,8903.00
"yüzde",191.00,652.00,5,9542.00
"aylık",249.00,651.00,5,9089.00
"aile",265.00,649.00,4,6718.00
"ikinci",246.00,648.00,6,65.00
"müdür",202.00,645.00,5,1767.00
"yönetmelik",250.00,645.00,10,8250.00
"toplum",345.00,643.00,6,4803.00
"bİlgİ",341.00,643.00,5,2708.00
"İlişkiler",385.00,641.00,9,9282.00
"zorunlu",201.00,639.00,7,6735.00
"memur",132.00,638.00,5,3195.00
"bütçe",208.00,638.00,5,900.00
"durum",327.00,637.00,5,8237.00
"dönem",262.00,634.00,5,1322.00
"doğan",243.00,633.00,5,6203.00
"İdari",369.00,628.00,5,4253.00
"bİr",185.00,627.00,3,23.00
"daİr",38.00,626.00,4,8613.00
"üretim",274.00,624.00,6,9009.00
"üyelik",291.00,621.00,6,2367.00
"yaptığı",303.00,621.00,7,1551.00
"alınan",319.00,621.00,6,7194.00
"altı",228.00,618.00,4,7695.00
"güncel",424.00,617.00,6,3611.00
"şehİrİçİ",2.00,616.00,8,9686.00
"odası",216.00,614.00,5,6429.00
"sayı",195.00,614.00,4,9777.00
