"word","urlcount","totalcount","wordLen","Random Number"
"the",6143.00,140909.00,3,9294.00
"and",5893.00,87546.00,3,2086.00
"of",5829.00,80878.00,2,2126.00
"to",5806.00,70744.00,2,8265.00
"in",5283.00,44097.00,2,217.00
"for",5422.00,38205.00,3,2988.00
"on",4690.00,24013.00,2,9553.00
"is",4562.00,22098.00,2,3561.00
"you",3580.00,15691.00,3,1685.00
"are",4097.00,15058.00,3,693.00
"information",4141.00,14596.00,11,3370.00
"this",3974.00,13835.00,4,6998.00
"by",3874.00,13834.00,2,5382.00
"with",3503.00,12553.00,4,7431.00
"be",2915.00,12106.00,2,4950.00
"or",3129.00,11874.00,2,6923.00
"about",4452.00,11477.00,5,5957.00
"that",2802.00,11262.00,4,7699.00
"from",3232.00,10165.00,4,5708.00
"as",2709.00,9816.00,2,8502.00
"government",2459.00,9559.00,10,1734.00
"your",2920.00,9415.00,4,8881.00
"us",3819.00,9369.00,2,475.00
"home",4606.00,9101.00,4,2717.00
"it",2699.00,9024.00,2,3560.00
"will",2426.00,8874.00,4,8920.00
"contact",4246.00,8823.00,7,4627.00
"service",2359.00,8717.00,7,3686.00
"at",2980.00,8576.00,2,9208.00
"we",2464.00,8285.00,2,7528.00
"research",1558.00,8164.00,8,8916.00
"site",3393.00,7904.00,4,8681.00
"an",2933.00,7890.00,2,8841.00
"our",2739.00,7868.00,3,1925.00
"more",2535.00,7847.00,4,6741.00
"news",3032.00,7811.00,4,3022.00
"new",2704.00,7778.00,3,5003.00
"have",2670.00,7549.00,4,3641.00
"local",1989.00,7392.00,5,7368.00
"public",2289.00,7256.00,6,6728.00
"all",3013.00,7236.00,3,4235.00
"website",2633.00,7049.00,7,6059.00
"can",2594.00,6983.00,3,1402.00
"services",2274.00,6850.00,8,8107.00
"office",2144.00,6820.00,6,8414.00
"search",3364.00,6607.00,6,8487.00
"links",3511.00,6236.00,5,8710.00
"health",1320.00,6156.00,6,1058.00
"not",1961.00,5837.00,3,5648.00
"has",2149.00,5759.00,3,4110.00
"police",736.00,5751.00,6,5375.00
"what",2340.00,5627.00,4,5062.00
"policy",2405.00,5590.00,6,1263.00
"which",2176.00,5590.00,5,5816.00
"work",2220.00,5459.00,4,3425.00
"London",1927.00,5425.00,6,8327.00
"national",1757.00,5312.00,8,4380.00
"if",1927.00,5232.00,2,7423.00
"help",2422.00,5175.00,4,2171.00
"people",1801.00,5114.00,6,4570.00
"how",2150.00,5050.00,3,262.00
"report",1366.00,4867.00,6,7186.00
"other",2331.00,4863.00,5,369.00
"page",2339.00,4822.00,4,5547.00
"their",1816.00,4610.00,5,6709.00
"council",1124.00,4480.00,7,2261.00
"use",2023.00,4401.00,3,7358.00
"out",1971.00,4203.00,3,6079.00
"no",1125.00,4201.00,2,4553.00
"publications",2234.00,4192.00,12,8528.00
"community",1451.00,4190.00,9,8521.00
"top",1566.00,4038.00,3,7173.00
"here",2207.00,3979.00,4,8245.00
"development",1436.00,3870.00,11,1102.00
"also",1943.00,3845.00,4,686.00
"England",1303.00,3789.00,7,1667.00
"any",1491.00,3739.00,3,7239.00
"may",1493.00,3727.00,3,4289.00
"copyright",2646.00,3711.00,9,3240.00
"civil",808.00,3691.00,5,6443.00
"was",1339.00,3683.00,3,3.00
"support",1628.00,3673.00,7,2318.00
"department",1052.00,3649.00,10,1167.00
"find",1895.00,3623.00,4,3620.00
"who",1683.00,3616.00,3,6135.00
"access",1498.00,3609.00,6,7105.00
"please",1885.00,3576.00,6,6603.00
"social",1123.00,3554.00,6,2523.00
"centre",1387.00,3505.00,6,5157.00
"do",1533.00,3478.00,2,9120.00
"they",1363.00,3430.00,4,9967.00
"been",1490.00,3382.00,4,4664.00
"advice",1542.00,3376.00,6,4159.00
"business",1432.00,3375.00,8,9183.00
"education",1158.00,3321.00,9,6262.00
"data",885.00,3318.00,4,9270.00
"events",1708.00,3235.00,6,8654.00
"subscribers",51.00,3233.00,11,8626.00
"email",1738.00,3220.00,5,8915.00
"available",1574.00,3215.00,9,1626.00
"commission",771.00,3209.00,10,4960.00
"press",1336.00,3181.00,5,8664.00
"up",1581.00,3169.00,2,22.00
"authority",916.00,3152.00,9,7000.00
"details",1653.00,3119.00,7,3216.00
"time",1183.00,3065.00,4,8510.00
"click",1372.00,3056.00,5,8748.00
"south",754.00,3043.00,5,9416.00
"group",1041.00,3036.00,5,5326.00
"these",1527.00,3019.00,5,5748.00
"its",1449.00,2969.00,3,7116.00
"west",705.00,2967.00,4,6241.00
"management",1144.00,2965.00,10,8397.00
"east",710.00,2960.00,4,4920.00
"map",1861.00,2942.00,3,6735.00
"university",649.00,2932.00,10,935.00
"act",848.00,2861.00,3,2307.00
"one",1437.00,2830.00,3,9914.00
"members",1219.00,2822.00,7,4970.00
"feedback",1545.00,2801.00,8,5904.00
"list",1085.00,2785.00,4,6940.00
"there",1247.00,2781.00,5,9770.00
"rights",1013.00,2748.00,6,741.00
"crime",634.00,2723.00,5,8727.00
"law",746.00,2665.00,3,4937.00
"house",903.00,2649.00,5,2384.00
"web",1305.00,2635.00,3,8000.00
"area",1300.00,2630.00,4,8743.00
"wales",956.00,2628.00,5,5530.00
"privacy",2215.00,2613.00,7,274.00
"north",747.00,2609.00,5,3317.00
"content",1526.00,2602.00,7,8487.00
"November",775.00,2576.00,8,4713.00
"but",1147.00,2537.00,3,6953.00
"key",1226.00,2523.00,3,2054.00
"December",1094.00,2518.00,8,3242.00
"terms",1809.00,2495.00,5,276.00
"working",1341.00,2488.00,7,7575.00
"issues",1290.00,2482.00,6,7987.00
"should",953.00,2462.00,6,7350.00
"general",1324.00,2450.00,7,2214.00
"gov",909.00,2444.00,3,255.00
"training",1050.00,2424.00,8,5152.00
"committee",550.00,2422.00,9,7683.00
"programme",1000.00,2419.00,9,2171.00
"over",1171.00,2388.00,4,1751.00
"link",803.00,2381.00,4,8224.00
"first",1197.00,2373.00,5,3933.00
"see",1165.00,2369.00,3,7762.00
"co",1037.00,2359.00,2,6793.00
"school",658.00,2349.00,6,2049.00
"Scotland",704.00,2341.00,8,8821.00
"year",1081.00,2337.00,4,3318.00
"text",941.00,2317.00,4,9879.00
"make",1273.00,2290.00,4,1032.00
"into",1246.00,2283.00,4,1669.00
"environment",978.00,2281.00,11,6139.00
"regional",767.00,2280.00,8,2019.00
"learning",746.00,2239.00,8,8054.00
"review",898.00,2229.00,6,5714.00
"bill",238.00,2220.00,4,4155.00
"media",988.00,2194.00,5,7721.00
"section",1060.00,2187.00,7,7726.00
"only",1345.00,2184.00,4,9815.00
"planning",754.00,2172.00,8,1439.00
"latest",1408.00,2172.00,6,6309.00
"communities",786.00,2158.00,11,6807.00
"project",793.00,2156.00,7,1385.00
"agency",728.00,2151.00,6,7361.00
"now",1248.00,2148.00,3,2871.00
"international",1015.00,2143.00,13,5914.00
"form",1278.00,2136.00,4,8508.00
"where",1111.00,2127.00,5,8283.00
"cabinet",749.00,2127.00,7,4157.00
"published",944.00,2112.00,9,5929.00
"safety",701.00,2096.00,6,7371.00
"conditions",1482.00,2069.00,10,2671.00
"children",681.00,2064.00,8,7391.00
"legal",781.00,2052.00,5,9219.00
"last",1635.00,2049.00,4,4858.00
"main",1536.00,2039.00,4,1764.00
"staff",958.00,2025.00,5,9578.00
"scheme",820.00,2006.00,6,4886.00
"provide",1094.00,1998.00,7,2153.00
"part",1090.00,1994.00,4,7976.00
"areas",1001.00,1982.00,5,3350.00
"through",1169.00,1974.00,7,9152.00
"reports",951.00,1972.00,7,8234.00
"guidance",864.00,1971.00,8,1648.00
"read",856.00,1970.00,4,8495.00
"back",989.00,1969.00,4,2319.00
"under",907.00,1955.00,5,638.00
"board",686.00,1937.00,5,1176.00
"schools",605.00,1924.00,7,4097.00
"resources",1001.00,1923.00,9,2436.00
"number",1058.00,1921.00,6,674.00
"annual",922.00,1919.00,6,3198.00
"further",1149.00,1917.00,7,1608.00
"org",649.00,1907.00,3,3391.00
"need",1129.00,1905.00,4,4481.00
"guide",825.00,1903.00,5,5733.00
"society",685.00,1900.00,7,927.00
"Ireland",661.00,1896.00,7,1837.00
"green",311.00,1896.00,5,106.00
"including",1177.00,1889.00,9,4403.00
"strategy",787.00,1874.00,8,1886.00
"world",798.00,1864.00,5,8225.00
"some",1008.00,1856.00,4,8217.00
"city",589.00,1838.00,4,6496.00
"British",739.00,1837.00,7,8484.00
"within",1026.00,1829.00,6,8192.00
"download",746.00,1820.00,8,8339.00
"crown",1237.00,1817.00,5,4917.00
"related",1259.00,1814.00,7,2261.00
"statistics",801.00,1800.00,10,1728.00
"unit",742.00,1800.00,4,6296.00
"European",681.00,1800.00,8,7372.00
"full",970.00,1787.00,4,8558.00
"network",664.00,1786.00,7,3631.00
"care",664.00,1785.00,4,4621.00
"current",1100.00,1781.00,7,8787.00
"freedom",1036.00,1775.00,7,4865.00
"northern",657.00,1773.00,8,4566.00
"life",815.00,1766.00,4,4271.00
"organisations",982.00,1763.00,13,6241.00
"minister",601.00,1753.00,8,2675.00
"science",561.00,1728.00,7,2792.00
"accessibility",1093.00,1727.00,13,2911.00
"history",780.00,1727.00,7,8173.00
"free",1054.00,1719.00,4,5899.00
"standards",792.00,1716.00,9,2613.00
"take",943.00,1715.00,4,5026.00
"right",642.00,1709.00,5,8869.00
"updated",1429.00,1708.00,7,7038.00
"plan",757.00,1698.00,4,4030.00
"when",882.00,1698.00,4,9590.00
"trust",473.00,1686.00,5,5129.00
"quality",770.00,1671.00,7,588.00
"October",649.00,1666.00,7,6689.00
"using",912.00,1663.00,5,4819.00
"consultation",673.00,1663.00,12,4072.00
"would",807.00,1649.00,5,6604.00
"tel",830.00,1647.00,3,4908.00
"such",831.00,1646.00,4,2574.00
"conference",555.00,1646.00,10,7357.00
"housing",406.00,1640.00,7,4976.00
"them",978.00,1630.00,4,985.00
"those",906.00,1617.00,5,1086.00
"being",940.00,1615.00,5,1250.00
"most",1016.00,1614.00,4,338.00
"team",860.00,1614.00,4,4826.00
"street",838.00,1612.00,6,7183.00
"get",941.00,1606.00,3,4357.00
"sector",717.00,1600.00,6,2927.00
"useful",1151.00,1599.00,6,5887.00
"authorities",633.00,1597.00,11,5765.00
"family",505.00,1592.00,6,9724.00
"groups",770.00,1591.00,6,3770.00
"association",594.00,1584.00,11,5171.00
"best",938.00,1582.00,4,4886.00
"welcome",1201.00,1581.00,7,6903.00
"questions",939.00,1580.00,9,6709.00
"font",79.00,1574.00,4,6626.00
"so",884.00,1564.00,2,2364.00
"navigation",1169.00,1557.00,10,7906.00
"view",954.00,1554.00,4,4608.00
"order",816.00,1546.00,5,1488.00
"pages",721.00,1544.00,5,532.00
"prime",476.00,1539.00,5,743.00
